txn_type,day,count
cashin,2020-01-27T00:00:00.000-08:00,33
p2p,2020-02-04T00:00:00.000-08:00,42
cashin,2020-01-30T00:00:00.000-08:00,41
other,2020-01-31T00:00:00.000-08:00,15
cashout,2020-02-22T00:00:00.000-08:00,34
p2p,2020-02-13T00:00:00.000-08:00,64
cashout,2020-01-03T00:00:00.000-08:00,29
cashin,2020-02-14T00:00:00.000-08:00,36
billpay,2020-01-02T00:00:00.000-08:00,16
p2p,2020-01-03T00:00:00.000-08:00,67
cashout,2020-01-13T00:00:00.000-08:00,37
other,2020-02-11T00:00:00.000-08:00,18
cashin,2020-01-13T00:00:00.000-08:00,36
billpay,2020-01-27T00:00:00.000-08:00,14
other,2020-01-11T00:00:00.000-08:00,20
cashout,2020-02-04T00:00:00.000-08:00,37
cashout,2020-02-05T00:00:00.000-08:00,42
other,2020-02-21T00:00:00.000-08:00,20
other,2020-02-12T00:00:00.000-08:00,30
billpay,2020-01-21T00:00:00.000-08:00,15
billpay,2020-02-03T00:00:00.000-08:00,11
other,2020-01-22T00:00:00.000-08:00,22
billpay,2020-02-10T00:00:00.000-08:00,17
billpay,2020-02-01T00:00:00.000-08:00,25
p2p,2020-02-02T00:00:00.000-08:00,64
cashout,2020-01-23T00:00:00.000-08:00,39
billpay,2020-01-13T00:00:00.000-08:00,18
cashin,2020-02-06T00:00:00.000-08:00,31
cashin,2020-02-20T00:00:00.000-08:00,33
cashin,2020-01-08T00:00:00.000-08:00,30
cashout,2020-02-15T00:00:00.000-08:00,26
p2p,2020-02-19T00:00:00.000-08:00,62
p2p,2020-01-09T00:00:00.000-08:00,67
billpay,2020-02-04T00:00:00.000-08:00,14
cashout,2020-01-10T00:00:00.000-08:00,30
other,2020-02-04T00:00:00.000-08:00,15
billpay,2020-02-02T00:00:00.000-08:00,10
billpay,2020-01-03T00:00:00.000-08:00,19
billpay,2020-02-23T00:00:00.000-08:00,18
billpay,2020-02-22T00:00:00.000-08:00,22
cashin,2020-02-09T00:00:00.000-08:00,27
billpay,2020-02-08T00:00:00.000-08:00,13
cashin,2020-01-09T00:00:00.000-08:00,27
other,2020-01-27T00:00:00.000-08:00,24
cashout,2020-02-03T00:00:00.000-08:00,43
cashout,2020-02-06T00:00:00.000-08:00,23
cashout,2020-01-09T00:00:00.000-08:00,39
other,2020-02-08T00:00:00.000-08:00,19
p2p,2020-01-05T00:00:00.000-08:00,60
billpay,2020-02-26T00:00:00.000-08:00,16
cashout,2020-01-21T00:00:00.000-08:00,46
cashout,2020-01-16T00:00:00.000-08:00,32
billpay,2020-02-15T00:00:00.000-08:00,15
other,2020-01-15T00:00:00.000-08:00,14
cashout,2020-01-18T00:00:00.000-08:00,35
other,2020-01-25T00:00:00.000-08:00,10
other,2020-02-09T00:00:00.000-08:00,19
cashout,2020-02-27T00:00:00.000-08:00,32
p2p,2020-02-03T00:00:00.000-08:00,58
cashin,2020-01-23T00:00:00.000-08:00,29
p2p,2020-02-14T00:00:00.000-08:00,76
cashin,2020-01-18T00:00:00.000-08:00,29
p2p,2020-02-11T00:00:00.000-08:00,62
cashin,2020-01-24T00:00:00.000-08:00,26
p2p,2020-01-21T00:00:00.000-08:00,61
p2p,2020-02-21T00:00:00.000-08:00,65
cashout,2020-01-15T00:00:00.000-08:00,28
p2p,2020-02-08T00:00:00.000-08:00,59
other,2020-02-19T00:00:00.000-08:00,23
cashin,2020-02-28T00:00:00.000-08:00,40
cashout,2020-01-04T00:00:00.000-08:00,28
cashin,2020-01-14T00:00:00.000-08:00,37
cashin,2020-02-04T00:00:00.000-08:00,33
cashout,2020-02-20T00:00:00.000-08:00,27
cashout,2020-01-11T00:00:00.000-08:00,35
cashin,2020-01-15T00:00:00.000-08:00,31
cashout,2020-01-08T00:00:00.000-08:00,22
cashin,2020-02-23T00:00:00.000-08:00,28
other,2020-01-13T00:00:00.000-08:00,12
cashout,2020-01-22T00:00:00.000-08:00,32
billpay,2020-02-06T00:00:00.000-08:00,27
cashin,2020-02-25T00:00:00.000-08:00,23
billpay,2020-01-29T00:00:00.000-08:00,17
billpay,2020-02-07T00:00:00.000-08:00,23
cashin,2020-01-12T00:00:00.000-08:00,33
p2p,2020-01-04T00:00:00.000-08:00,82
other,2020-01-14T00:00:00.000-08:00,13
cashout,2020-02-23T00:00:00.000-08:00,33
billpay,2020-02-19T00:00:00.000-08:00,8
cashin,2020-01-01T00:00:00.000-08:00,35
p2p,2020-01-06T00:00:00.000-08:00,54
cashin,2020-02-26T00:00:00.000-08:00,27
other,2020-01-08T00:00:00.000-08:00,19
billpay,2020-01-05T00:00:00.000-08:00,21
cashout,2020-01-25T00:00:00.000-08:00,38
billpay,2020-01-28T00:00:00.000-08:00,25
other,2020-01-02T00:00:00.000-08:00,13
p2p,2020-02-27T00:00:00.000-08:00,58
cashin,2020-02-16T00:00:00.000-08:00,29
p2p,2020-02-25T00:00:00.000-08:00,58
billpay,2020-02-20T00:00:00.000-08:00,10
cashout,2020-02-24T00:00:00.000-08:00,43
billpay,2020-01-09T00:00:00.000-08:00,12
other,2020-02-23T00:00:00.000-08:00,14
cashin,2020-01-29T00:00:00.000-08:00,39
other,2020-01-04T00:00:00.000-08:00,15
cashin,2020-02-02T00:00:00.000-08:00,39
cashout,2020-02-17T00:00:00.000-08:00,25
billpay,2020-02-05T00:00:00.000-08:00,19
p2p,2020-01-30T00:00:00.000-08:00,64
other,2020-01-18T00:00:00.000-08:00,17
billpay,2020-02-14T00:00:00.000-08:00,18
p2p,2020-02-24T00:00:00.000-08:00,60
cashout,2020-01-02T00:00:00.000-08:00,45
p2p,2020-02-26T00:00:00.000-08:00,62
cashin,2020-01-06T00:00:00.000-08:00,24
cashout,2020-01-17T00:00:00.000-08:00,40
other,2020-02-13T00:00:00.000-08:00,15
p2p,2020-01-18T00:00:00.000-08:00,57
p2p,2020-01-11T00:00:00.000-08:00,63
billpay,2020-01-25T00:00:00.000-08:00,18
billpay,2020-01-19T00:00:00.000-08:00,18
other,2020-02-10T00:00:00.000-08:00,16
cashout,2020-02-12T00:00:00.000-08:00,34
cashout,2020-02-07T00:00:00.000-08:00,34
cashout,2020-01-29T00:00:00.000-08:00,39
p2p,2020-01-15T00:00:00.000-08:00,66
billpay,2020-01-11T00:00:00.000-08:00,13
p2p,2020-01-29T00:00:00.000-08:00,52
billpay,2020-02-16T00:00:00.000-08:00,12
cashin,2020-01-19T00:00:00.000-08:00,31
p2p,2020-01-20T00:00:00.000-08:00,54
other,2020-01-26T00:00:00.000-08:00,15
billpay,2020-01-12T00:00:00.000-08:00,9
p2p,2020-02-10T00:00:00.000-08:00,56
cashin,2020-01-21T00:00:00.000-08:00,40
p2p,2020-02-01T00:00:00.000-08:00,66
other,2020-02-26T00:00:00.000-08:00,23
cashin,2020-01-02T00:00:00.000-08:00,36
other,2020-02-06T00:00:00.000-08:00,14
cashout,2020-02-10T00:00:00.000-08:00,34
p2p,2020-01-10T00:00:00.000-08:00,56
cashin,2020-01-03T00:00:00.000-08:00,28
cashin,2020-02-22T00:00:00.000-08:00,35
other,2020-02-24T00:00:00.000-08:00,15
other,2020-01-23T00:00:00.000-08:00,14
cashin,2020-01-31T00:00:00.000-08:00,29
p2p,2020-01-25T00:00:00.000-08:00,53
billpay,2020-01-26T00:00:00.000-08:00,19
other,2020-02-14T00:00:00.000-08:00,17
cashout,2020-01-20T00:00:00.000-08:00,28
other,2020-02-16T00:00:00.000-08:00,24
cashout,2020-02-21T00:00:00.000-08:00,39
other,2020-02-22T00:00:00.000-08:00,15
p2p,2020-01-26T00:00:00.000-08:00,65
p2p,2020-02-28T00:00:00.000-08:00,62
billpay,2020-02-17T00:00:00.000-08:00,10
billpay,2020-02-18T00:00:00.000-08:00,14
other,2020-02-15T00:00:00.000-08:00,20
cashin,2020-02-13T00:00:00.000-08:00,30
cashin,2020-01-05T00:00:00.000-08:00,39
other,2020-01-06T00:00:00.000-08:00,14
other,2020-01-19T00:00:00.000-08:00,8
cashout,2020-02-29T00:00:00.000-08:00,30
cashout,2020-01-27T00:00:00.000-08:00,38
p2p,2020-01-13T00:00:00.000-08:00,69
p2p,2020-01-14T00:00:00.000-08:00,69
other,2020-01-28T00:00:00.000-08:00,15
p2p,2020-02-20T00:00:00.000-08:00,58
billpay,2020-01-15T00:00:00.000-08:00,13
cashout,2020-02-01T00:00:00.000-08:00,33
other,2020-02-20T00:00:00.000-08:00,20
cashin,2020-02-29T00:00:00.000-08:00,36
other,2020-02-18T00:00:00.000-08:00,19
p2p,2020-01-28T00:00:00.000-08:00,60
billpay,2020-01-06T00:00:00.000-08:00,14
cashout,2020-02-16T00:00:00.000-08:00,26
billpay,2020-01-16T00:00:00.000-08:00,14
billpay,2020-01-01T00:00:00.000-08:00,21
p2p,2020-02-18T00:00:00.000-08:00,73
other,2020-02-27T00:00:00.000-08:00,19
other,2020-02-25T00:00:00.000-08:00,16
cashout,2020-01-07T00:00:00.000-08:00,34
billpay,2020-01-30T00:00:00.000-08:00,23
p2p,2020-01-27T00:00:00.000-08:00,66
cashin,2020-02-21T00:00:00.000-08:00,37
p2p,2020-01-22T00:00:00.000-08:00,70
billpay,2020-02-25T00:00:00.000-08:00,16
cashout,2020-02-28T00:00:00.000-08:00,43
other,2020-01-29T00:00:00.000-08:00,16
cashin,2020-02-15T00:00:00.000-08:00,28
p2p,2020-01-19T00:00:00.000-08:00,48
p2p,2020-02-22T00:00:00.000-08:00,64
cashin,2020-02-17T00:00:00.000-08:00,30
cashin,2020-01-04T00:00:00.000-08:00,35
cashin,2020-01-25T00:00:00.000-08:00,27
cashout,2020-01-30T00:00:00.000-08:00,40
p2p,2020-02-12T00:00:00.000-08:00,67
billpay,2020-01-08T00:00:00.000-08:00,14
cashin,2020-02-11T00:00:00.000-08:00,27
p2p,2020-01-24T00:00:00.000-08:00,54
cashin,2020-02-07T00:00:00.000-08:00,28
