name,prefectures,count
bkaCprmYrV,TONE,1
gNdNMWRVVK,AGOU,1
JHtwryoVie,KPENDJAL-OUEST,4
PYhRrrqufn,ZIO,2
RnckHGrMqL,ZIO,2
pRrFfpCclm,AVE,2
KbxhvMwzfe,EST-MONO,3
RTkddnKvSG,CINKASSE,1
yKFQNXyPic,CINKASSE,1
CWEaPfsxDd,TONE,2
sktMIFqsds,PLAINE DU MO,1
bkanszCcLO,PLAINE DU MO,2
fNgbhjgzdh,KOZAH,1
pRumlkWpLO,KPENDJAL,3
iGnSsLVhQa,DOUFELGOU,1
PGiqQSpzov,PLAINE DU MO,1
UWgavSMUps,PLAINE DU MO,1
LIjXuoqhUZ,AMOU,5
upWCirugqI,KPENDJAL-OUEST,1
eZIpIjclIC,BINAH,2
zeBKFbSiTi,BINAH,1
iGnSsLVhQa,BINAH,1
oqYPyoLIda,BINAH,1
UYzlVizviG,BINAH,1
cyedGKnkBl,LACS,6
SWrVGAUaYc,LACS,3
oWFozltJyI,AGOE-NYIVE,1
wcWAJmEhTe,AGOE-NYIVE,2
ZKsKIXmCeN,AGOE-NYIVE,1
HbZFZzkRjc,AGOE-NYIVE,1
GVwjVxGtco,BINAH,1
ZKsKIXmCeN,HAHO,1
RTkddnKvSG,TCHAMBA,12
ANZEnbkmQy,TCHAMBA,18
RMiAgtyKvN,TCHAMBA,13
gmVWRqBoQV,TCHAMBA,17
hGMexblmwH,TCHAMBA,14
dRjgCnDfuC,PLAINE DU MO,2
JNywlwyguE,PLAINE DU MO,3
zeBKFbSiTi,OTI-SUD,4
OHFkbArviB,AKEBOU,8
DHgtnkLApc,AKEBOU,8
gCXaKCzHgQ,AKEBOU,6
iZOtVYroJd,SOTOUBOUA,15
jcdTKCpPut,SOTOUBOUA,11
yofaYDcyWJ,SOTOUBOUA,10
GTSqfBzCft,SOTOUBOUA,17
qQxTrHqklY,SOTOUBOUA,11
utnMALLASm,OGOU,5
QOpgXgWkUp,OTI,9
VLdIOQJoMg,KPENDJAL,4
GKVUSaRkrA,KPENDJAL,5
McmTeYfIvC,KPENDJAL,6
lFwFKrUUBY,KPENDJAL,1
thYTDgQYkj,KPENDJAL,5
MQhnpLSWmh,KPELE,8
OBrvsvlwmE,OTI,7
MutXOBkUOR,OTI,12
FrrrxNmrzF,TCHAOUDJO,6
yjDawEVIph,TCHAOUDJO,5
xYCPtUqRwb,ASSOLI,1
dRjgCnDfuC,ASSOLI,1
EDCeUWZAJH,WAWA,3
OOJalOIuJR,AGOE-NYIVE,2
bQdsaYgNLX,AGOU,4
xnTULXdbpd,AGOU,4
RcPCHnSiQK,AGOU,5
iBbmdmTWEX,AGOU,2
uTDSAZTKdw,OTI,7
duBcEisEsj,OTI,6
pVQcoosDdg,DANKPEN,12
RcPCHnSiQK,DANKPEN,22
OFvNEylNLu,DANKPEN,9
LpOuvgMZrq,DANKPEN,11
itEXCvgIqG,DANKPEN,11
eeisrwgClH,DANKPEN,16
gNdNMWRVVK,VO,4
PvvGKdxbUZ,VO,7
eHvpkmFarn,VO,2
gvsutalzBt,SOTOUBOUA,10
BTzVOXUmtE,SOTOUBOUA,18
leRJogPPnD,TCHAMBA,9
wtLahGMgBA,BASSAR,27
VBmYQKZpes,BASSAR,25
zIxnsQiuyY,BASSAR,26
XDpdMRFttS,AKEBOU,7
rVDjYOUCiZ,AKEBOU,6
bWwiWnpWxs,AKEBOU,11
vOyGseCqEm,BLITTA,2
NgGnrxtAfv,BLITTA,7
yNvBZLSwky,VO,5
UWgavSMUps,VO,5
FtMfdJnLrr,VO,3
QsmkpTqIke,AKEBOU,7
HbZFZzkRjc,ANIE,6
HugrCcAxzg,MOYEN-MONO,2
uFZSRfIWVX,MOYEN-MONO,3
AMhiFaRiXH,MOYEN-MONO,2
MQHEOdAbZm,MOYEN-MONO,2
QeJWGbxiIf,LACS,4
eVTooFqebg,LACS,6
FrrrxNmrzF,BASSAR,29
ovCQfxURWj,HAHO,3
OHFkbArviB,HAHO,2
hGMexblmwH,HAHO,2
YhaWUvKAwO,ANIE,8
OOJalOIuJR,BLITTA,9
YtJwPvzKLZ,TCHAMBA,8
jZfnWkiaaa,TCHAMBA,5
rtKKSILNGX,TCHAMBA,14
MYNZcwCcTX,TCHAMBA,11
maNvjguwmL,KERAN,1
RYLLuDZLrZ,DANKPEN,9
mIchMaqvWj,DANKPEN,12
zLbZKTJNoS,DANKPEN,10
pFMqxTFqzh,DANKPEN,14
nyeSlFHLXJ,KERAN,6
NDRsXwCDrr,KOZAH,6
klfhtuUdnG,KOZAH,4
cgibJqKipZ,KOZAH,6
hoSbHeUpKQ,KOZAH,3
JGiawPlVpd,KOZAH,8
hZvsVsiGbO,AMOU,5
pCfiQabAHL,AMOU,5
yTuipTWBjt,AMOU,6
aKzuRMIgvK,AMOU,5
QtpFCmMrGc,CINKASSE,9
oHHeRbFfEv,CINKASSE,4
oRdpGMZqVv,CINKASSE,2
UFJrnDyCIk,CINKASSE,1
aRdOKnlBvg,CINKASSE,1
EfjymfRMbO,TCHAOUDJO,7
NkMsjHibBf,TCHAOUDJO,2
nyeSlFHLXJ,TCHAOUDJO,2
cTTmiuNsBv,TCHAOUDJO,5
eZKTVgnWxe,BASSAR,17
cSHNJFyQnS,KPELE,5
DWwcMYiSAE,ZIO,3
sHLZFdgmpU,ZIO,3
AVkNVyOMzy,ZIO,1
kEPdsLrUmM,AVE,2
aTGHRQlzWn,VO,4
mCndLeBGMM,DOUFELGOU,3
leRJogPPnD,DOUFELGOU,3
hpZYPsRKBb,DOUFELGOU,2
MQhnpLSWmh,OTI-SUD,7
sktMIFqsds,MOYEN-MONO,1
RMAAkWOEls,MOYEN-MONO,1
ImQkdpTdeO,TCHAOUDJO,4
FtMfdJnLrr,TCHAOUDJO,3
iVZgDwcEYU,HAHO,3
UMmZwrOlGa,HAHO,1
AOKYtuwRQi,HAHO,3
SeqYxJSnsT,EST-MONO,8
ZHSjLEHfDc,OGOU,4
rVDjYOUCiZ,AMOU,8
XUpEywbCRm,AMOU,6
ZBIrLOvJnR,KPENDJAL,5
sscGOWmTcr,KPENDJAL,5
CSVicEEHdq,KPENDJAL,5
XDpdMRFttS,KOZAH,3
cprHaXwjPO,Unknown,19
tdquKTjSND,CINKASSE,3
fBVtJIOofJ,CINKASSE,6
UzIHDpTKIh,OGOU,13
tbDycaGhZM,LACS,3
wKURKPTLyw,LACS,3
UBjPeHTMSJ,LACS,1
tJVBJkAsIk,LACS,4
QfCQVnESPU,KPENDJAL,3
tdquKTjSND,KPENDJAL,4
nykhjnYqIs,OGOU,5
rGFlLwfpcW,EST-MONO,5
GVwjVxGtco,LACS,3
mIchMaqvWj,TONE,7
fgUGpjgzXk,TONE,5
VqGWSxnoSB,TONE,3
rRmRPRzpPA,TONE,3
oGBBNprFLK,TONE,4
olPjbxYqCi,TONE,5
XstqtfmwLR,VO,2
yRADykVpRf,KPENDJAL-OUEST,3
TzgNxHLklN,KPENDJAL-OUEST,2
prxHvLSySc,KPENDJAL-OUEST,3
PvvGKdxbUZ,KPENDJAL-OUEST,1
YGYcLsXFRt,ZIO,1
yeCoCorNtH,AVE,3
bONpclnWek,AVE,1
SPCbSYGqCR,OTI-SUD,3
xyMDNoyanA,KPENDJAL-OUEST,1
NJcBmmHgZl,AMOU,3
tJJxMfkxYb,EST-MONO,5
fWextEzdas,BLITTA,7
XNkolWMEey,PLAINE DU MO,1
MRjyzbOAfJ,KPENDJAL,1
isjaYQNfQZ,Unknown,23
mVSMfLixNY,KPENDJAL,2
MkJdKpHqVq,DOUFELGOU,1
WBYzVGXXRf,Unknown,22
xPduZOWJSH,BINAH,1
lOviNTgYuS,BINAH,1
ktUwmfepNJ,AGOE-NYIVE,1
mCndLeBGMM,BINAH,1
jMFZqtHcGd,HAHO,1
pIXwDvrwnG,AVE,1
naVptxZAGL,PLAINE DU MO,1
RiIzqSwCTc,PLAINE DU MO,2
YtCUJsglOM,PLAINE DU MO,4
avrINItACP,OTI-SUD,11
GHLOeaybOH,AKEBOU,6
JqcGbIMhFn,AKEBOU,8
YagnyvHJUh,AKEBOU,3
hApMdEppaa,AKEBOU,6
JCOKHWhNCl,SOTOUBOUA,10
MlWUJdevSL,SOTOUBOUA,12
EDCeUWZAJH,OGOU,11
aSpAQqOnRJ,OGOU,8
eGwidYFuZD,OGOU,7
GHLOeaybOH,OTI,8
QiNMmMRHhs,KPENDJAL,7
ixgtPfMtcF,KPENDJAL,7
bWwiWnpWxs,KPENDJAL,5
DgENjcsCZV,KPENDJAL,3
yofaYDcyWJ,KPENDJAL,5
ZxDgrIqzha,KPENDJAL,7
ipXQWkpeZu,KPELE,5
KXDRiGiFSw,KPELE,10
nAHGdwJcGB,TCHAMBA,9
YezRGHjpnb,OTI,7
dDsxIrEWmd,OTI,7
CWEaPfsxDd,TCHAOUDJO,8
HUONmMUWTV,TCHAOUDJO,9
SykhnUuOiy,TCHAOUDJO,4
GtIDsRFBJR,TCHAOUDJO,4
KyAZnzyoVg,TCHAOUDJO,4
WLjpZNuKnx,ASSOLI,2
hAiLgrTSEW,ASSOLI,1
MJzAYJaCaO,ASSOLI,3
maNvjguwmL,ASSOLI,1
SMuqSKCnZA,ANIE,5
TNXtnfRBDx,ANIE,7
wvwrbpEJYw,ANIE,9
pwXxvVvTag,AGOE-NYIVE,1
vvwEzIfGpP,AGOE-NYIVE,2
ZuLaiYuunH,AGOU,2
qKhUVcTwow,AGOU,6
WkzIMOgJkS,AGOU,4
xYCPtUqRwb,AGOU,1
DmeZkMpElS,OTI,6
hIVnCXHYRu,DANKPEN,15
tbDycaGhZM,DANKPEN,10
GNraTpxZeh,DANKPEN,13
VLTcsprApa,VO,4
SHqxJNJCYS,VO,2
rRBPnMdqKx,VO,6
sHLZFdgmpU,VO,4
mlYYwQmWZT,VO,2
tnJHBXEkFA,SOTOUBOUA,12
TWTZnhNORc,SOTOUBOUA,14
GVwjVxGtco,BASSAR,31
hpZYPsRKBb,BLITTA,8
SRwLuliAwr,BLITTA,4
JshuzUxeoH,BLITTA,15
QsmkpTqIke,BLITTA,10
DJbXtdBIln,AKEBOU,5
buwNyRhUpz,AKEBOU,4
cFVmHlnmfD,MOYEN-MONO,2
oCMLouzjOm,MOYEN-MONO,3
QLznuiBdoY,MOYEN-MONO,2
tJJxMfkxYb,MOYEN-MONO,2
YTzSyOzNPv,LACS,6
eeisrwgClH,HAHO,2
YJYkzOBbqo,HAHO,5
sGfhgdtkVR,HAHO,3
cFVmHlnmfD,HAHO,2
XiKpNMsHxn,BLITTA,7
LSSEYqEagz,KERAN,11
rjLtlefVRU,KERAN,10
RVogboTWCz,KERAN,6
ipXQWkpeZu,KERAN,5
UyJLCDWzzs,KERAN,2
JBdasUrdZZ,DANKPEN,14
XXnmAmCasu,KERAN,8
MRjyzbOAfJ,KERAN,5
vXYTAznQFE,KERAN,5
VBmYQKZpes,KOZAH,5
iAqPrFZkVP,KOZAH,4
TpwIZgycjl,KOZAH,2
IJhqDwilXs,AMOU,3
KbUQFLqqFj,AMOU,6
rJAPaflfZw,AMOU,7
GtIDsRFBJR,AMOU,9
KiPnIUXYqs,CINKASSE,3
YtCUJsglOM,CINKASSE,4
ruNGTTGsry,CINKASSE,2
sazpsvTcHe,CINKASSE,3
lynuPtHkoS,CINKASSE,2
ZuYYBGYpqM,CINKASSE,2
aNGoLSaKjJ,BASSAR,20
hrvIKPBhYK,ZIO,3
qztazmUTYq,ZIO,5
MpwIsPXoSC,ZIO,2
nAHGdwJcGB,AVE,3
YESMrTuLio,AVE,3
OVOmVmrpdy,Unknown,35
dIrNKTmhjQ,Unknown,25
bgdKSBRhzs,DOUFELGOU,6
lynuPtHkoS,DOUFELGOU,3
uFZSRfIWVX,DOUFELGOU,1
kwklCJIDlS,KERAN,2
bNhDNxmBoW,KERAN,6
NJcBmmHgZl,OTI-SUD,8
kkhBvxKiOp,OTI-SUD,10
xnTULXdbpd,OTI-SUD,6
JHtwryoVie,OTI-SUD,4
QJrdwAARWP,OTI-SUD,12
PeusZvtMjk,DANKPEN,5
sOJeGrKwbe,MOYEN-MONO,3
IcVOSRVSEB,MOYEN-MONO,2
RnckHGrMqL,TCHAOUDJO,2
RBDklSsXkt,HAHO,2
qtfZpgkkow,AGOU,1
RVKwUZsMZp,EST-MONO,4
MUtBQpFQRw,BLITTA,6
amMBDBUUvV,OGOU,4
kncczthuUU,OTI,8
FtMfdJnLrr,AMOU,5
stHoeJDHYZ,AMOU,5
sscGOWmTcr,KOZAH,3
rlAEpTAdBW,KOZAH,3
klfhtuUdnG,Unknown,32
orztMoDwjO,Unknown,24
siAtejNJZH,Unknown,32
cFVmHlnmfD,LACS,8
pAqMCRieoH,LACS,5
aYtLXfzBOE,AMOU,2
WDodcoiLyV,Unknown,24
sZtcVQzuVc,KOZAH,4
OFvNEylNLu,KOZAH,1
FVNaHqwvlv,EST-MONO,7
HwQqxNPTQK,AMOU,8
YUPUKSAIMO,AMOU,5
yedOtOyiOq,LACS,2
JyGYBsSFuk,TONE,3
NHnOnMxtqo,TONE,9
aKzuRMIgvK,TONE,3
ceziKFFyBN,TONE,4
DgMxmdyGUf,TONE,3
irDykfVNyX,TONE,3
QoSPkdeOcN,KPENDJAL-OUEST,3
utnMALLASm,KPENDJAL-OUEST,1
FxJBErMcuY,AVE,2
LVjvnofexE,Unknown,26
KNrBOmsszC,Unknown,31
UeuReFqmqD,KPENDJAL-OUEST,2
IelBpMhHEF,KPENDJAL-OUEST,1
fWextEzdas,PLAINE DU MO,1
vikIMTVuec,KOZAH,5
YYuFHpXvOR,DOUFELGOU,2
sktMIFqsds,DOUFELGOU,3
kJxMKZzRfE,KPENDJAL-OUEST,1
qVBxYOXntk,BINAH,2
ZrXuysitGQ,BINAH,5
pFMqxTFqzh,BINAH,1
lMCfKVlySO,AGOE-NYIVE,2
tOcJrDRvkO,AGOE-NYIVE,2
xPduZOWJSH,AGOE-NYIVE,1
EGEVAFOhDn,BINAH,1
FqzmWqeIBN,OTI-SUD,4
ZBIrLOvJnR,CINKASSE,2
pLeFzUJMnH,HAHO,1
OBrvsvlwmE,AVE,2
QiNMmMRHhs,TCHAMBA,16
OsDFMmUika,PLAINE DU MO,2
KbnRaCwoPO,PLAINE DU MO,1
SkbPdFPpRl,PLAINE DU MO,5
fgUGpjgzXk,PLAINE DU MO,2
JNywlwyguE,OTI-SUD,6
utnMALLASm,OTI-SUD,7
IJhqDwilXs,OTI-SUD,15
OyPkMgUDbd,OTI-SUD,4
SkDpHjHaTE,OTI-SUD,6
GjGNnFAHAd,AKEBOU,8
OBrvsvlwmE,AKEBOU,8
gPWJPuaXKL,AKEBOU,8
IvOrlIzYfz,SOTOUBOUA,14
RHwQjmZACX,SOTOUBOUA,14
NVsOXrSKam,OGOU,13
RMiAgtyKvN,OGOU,9
hApMdEppaa,OGOU,10
WzfOBUyuKl,KPENDJAL,2
AjjCWKeWXU,KPENDJAL,4
vtGDCFMTlc,KPENDJAL,3
xxDSHSNyyP,KPELE,4
usdHetXxKX,KPELE,7
YtvkGlMWwe,KPELE,9
kkhBvxKiOp,TCHAMBA,10
RcPCHnSiQK,TCHAOUDJO,3
xPduZOWJSH,TCHAOUDJO,7
GjGNnFAHAd,TCHAOUDJO,3
njIblDaQxo,TCHAOUDJO,3
xMrwhHCgcC,ASSOLI,1
lLzPcXlvZa,ASSOLI,1
AUTkwbgHqI,ASSOLI,3
WbnHoIFCmD,ANIE,13
MQhnpLSWmh,ANIE,9
uAeSWdbQJv,KPELE,5
byiPUgprau,KPELE,4
tPzDNhtjKq,AGOU,2
IPAwGBQiRC,AGOU,2
MkJdKpHqVq,AGOU,5
vAkPBPIwhF,AGOU,2
WkJLcgJayz,DANKPEN,11
WGBmXsYiOj,DANKPEN,12
DuzPHbeKFW,DANKPEN,12
gMGXGXdSes,SOTOUBOUA,11
cbtvbzbRWh,SOTOUBOUA,9
GudMukUipk,BASSAR,24
NHDTQUpmZl,BASSAR,24
QvkeuBfZDR,BASSAR,18
otcUfMSjlb,AKEBOU,9
VBmYQKZpes,BLITTA,9
gPWJPuaXKL,BLITTA,6
ipXQWkpeZu,BLITTA,11
GZzKgIdsLS,BLITTA,8
OtFfOxcGMu,BLITTA,9
sktMIFqsds,BLITTA,6
zYdOAwtytX,BLITTA,4
QvkeuBfZDR,VO,5
cbtvbzbRWh,AKEBOU,4
FXZOhJEIzg,AKEBOU,7
PYhRrrqufn,ANIE,4
CGbKIWfKzS,ANIE,11
ptudOnjdRU,ANIE,9
fnmFFTzlpW,ANIE,7
JyGYBsSFuk,MOYEN-MONO,1
zIxnsQiuyY,MOYEN-MONO,3
rQQsMfPgER,MOYEN-MONO,1
QAINcQAElG,MOYEN-MONO,1
BQtMZqAokF,LACS,8
LzHtHCEMmj,LACS,2
aRdOKnlBvg,LACS,7
LySPboXRJq,LACS,4
kJxMKZzRfE,LACS,4
NJcBmmHgZl,BASSAR,25
jtZLvPHdNE,BASSAR,38
UuwKOhOOEp,BASSAR,24
WLLHViBXaK,HAHO,2
gmVWRqBoQV,HAHO,2
MUtBQpFQRw,HAHO,3
vwAsfYMwAB,ANIE,6
HpuVGDEgpb,ANIE,7
rHrHUuinDi,BLITTA,12
