name,count(regions),count(prefectures),count(tower_id)
hqhkPOYdoU,6,33,75
sNLmtXfmNS,6,31,81
DZrnxkCrGa,6,32,74
hIVnCXHYRu,6,32,80
OWDaxBbECr,6,32,78
WBYzVGXXRf,6,31,75
czTZNuGAUb,6,33,82
fGfyHISsfA,6,31,76
jxCkQxbZYq,6,33,81
yeCoCorNtH,6,32,77
BEGhLiPIch,6,29,74
DHgtnkLApc,6,32,78
EqZlVNJYoJ,6,31,79
UFJrnDyCIk,6,32,78
iWxtzZgTKO,6,31,80
rWDwpQNHgI,6,30,74
AWrbWzWkYp,6,30,82
NUtIbkFRva,6,30,77
YhCoydLtxG,6,30,74
ybfXwoTOIB,6,32,78
CXRpRFmPNR,6,32,75
FqzmWqeIBN,6,31,77
QfCQVnESPU,6,31,70
RVqdDcQCth,6,31,76
YYuFHpXvOR,6,31,76
eGwidYFuZD,6,30,79
uqloFKfVPJ,6,31,79
wmyAJISQoE,6,30,72
JfmjchdFXD,6,32,81
MQhnpLSWmh,6,31,77
UGDojtMoWq,6,32,80
YagnyvHJUh,6,33,72
sbMMRXHWlA,6,30,73
KiPnIUXYqs,6,33,78
SMuqSKCnZA,6,29,80
YUPUKSAIMO,6,31,81
JshuzUxeoH,6,31,85
ShqzWdRqPU,6,33,76
osejBtJLAB,6,30,79
ovCQfxURWj,6,33,82
yRADykVpRf,6,32,80
QsmkpTqIke,6,29,77
dVEHKVyueo,6,32,77
gPWJPuaXKL,6,33,78
lFwFKrUUBY,6,33,78
sAMKobgXOs,6,31,77
WkJLcgJayz,6,32,76
XCFXXkOFDC,6,31,79
XFhWegeEzL,6,30,75
aOhYpPjaRM,6,30,79
cSHNJFyQnS,6,29,72
CzkSkJOneX,6,32,72
CCjaSRuFZy,6,31,78
JNywlwyguE,6,29,65
ZIWxRFoqYX,6,32,77
idRaVutnLw,6,30,71
EejkBiuisA,6,32,77
WnhvhYvsWV,6,29,78
bPbNEGFKQC,6,33,77
fxbDhUtQlR,6,33,77
naVptxZAGL,6,31,75
noMsyEpeco,6,32,80
GtPzYvLGKa,6,32,82
McmTeYfIvC,6,31,76
WRFtJAqJHm,6,31,74
YezRGHjpnb,6,31,80
ZZfNnZytXW,6,30,75
oxnZdbxnvn,6,30,75
BACHlCiCAb,6,31,83
pFMqxTFqzh,6,32,76
ApDvhzOUJr,6,33,77
OUrWUWrtPT,6,30,77
SAepputQIJ,6,29,74
YhaWUvKAwO,6,30,78
bZvWYAmjGh,6,31,76
hueAPdgLdU,6,32,75
hvbvXyyZQE,6,31,79
iOqJrYhaSI,6,30,81
qIBIaIrwAT,6,32,75
rrizRADpnV,6,32,79
GmgFVkcBZD,6,29,73
kEPdsLrUmM,6,30,80
yrwaiovMsf,6,30,72
bPeTUFClFy,6,31,77
DUdjnoVbNZ,6,33,79
OMwCRfaoHD,6,30,77
TQzbSOuJSc,6,31,79
fMbZlEGloj,6,30,79
iUChnGHNvU,6,29,74
oHHeRbFfEv,6,33,79
ehjWPxoldL,6,33,75
FUSzvJPVFA,6,32,78
IVyaRiYjnT,6,31,82
OBlBgGgjAW,6,34,84
WhCdBCpDlt,6,33,77
dSbpmigxHS,6,32,74
giGYPsFMLe,6,31,71
kwklCJIDlS,6,34,80
maNvjguwmL,6,31,76
morcWCUlfv,6,32,79
hjUBijNMcB,6,30,73
qfTcXuzMwC,6,31,75
LuwPfazSuK,6,34,80
NHnOnMxtqo,6,32,75
NJcBmmHgZl,6,31,76
QzTXATgcEd,6,31,79
VBmYQKZpes,6,32,75
eWzgTtbsZd,6,34,79
lILvNwZpJg,6,34,83
ojehpQgSrl,6,34,80
xceGzedNsY,6,30,75
JIyRoxZbUh,6,29,75
JWtZEHrWsR,6,30,73
SFVkVBNAYV,6,31,72
UAHdDuyIeM,6,33,77
UsFoBbrsvZ,6,31,75
YtJwPvzKLZ,6,33,83
hNKyGUZvKP,6,29,78
mJWGtFIzUT,6,32,75
tmsNSVtcYF,6,32,79
PbRfzosOyI,6,31,84
invvrEGQVb,6,30,80
nwucGHfJZc,6,31,73
svuCPzHHDw,6,33,73
uAeSWdbQJv,6,32,80
AaJProAtlR,6,32,75
DJbXtdBIln,6,32,79
NAbSoyFhvh,6,30,78
bFmbnJnppt,6,29,77
skIOopvdDk,6,32,77
zIpKVeqexV,6,31,74
HWtrxWlsRj,6,30,75
SWrVGAUaYc,6,33,77
lBbneyUdpV,6,29,82
lPJLmbcvMa,6,32,73
lejpdItlwH,6,32,86
tJGNHwzslg,6,31,78
HugrCcAxzg,6,32,83
KbnRaCwoPO,6,29,75
QilpPuwazs,6,32,76
NVsOXrSKam,6,30,79
UMmZwrOlGa,6,33,76
asTXooIIOV,6,31,69
crafafvctc,6,30,74
wvwrbpEJYw,6,33,81
ZdcogOJXCj,6,33,79
rCLoXTUsJK,6,30,76
NaficwxEvQ,6,34,86
XzHqYYZkNc,6,32,79
gMGXGXdSes,6,32,75
meALpnQBFl,6,30,70
pCfiQabAHL,6,33,80
utnMALLASm,6,29,77
AtJvmmmRmW,6,30,77
WqKloEOPlw,6,31,78
YGYcLsXFRt,6,34,76
feaEGENFKe,6,33,72
mrjYHuDBpx,6,33,83
prxHvLSySc,6,34,76
zSGmxiFras,6,31,80
sPogoJYZEX,6,34,78
wzNphlhEzM,6,31,78
CRClDwftom,6,32,82
JUHkrKtOLf,6,32,77
JYTaDlyhoJ,6,32,76
TLyOlzgZFy,6,32,75
WLLHViBXaK,6,34,81
hoSbHeUpKQ,6,31,83
tbQleqKEbx,6,33,86
AwzYubLqXX,6,30,75
TyojoQrkXf,6,31,77
aMtpbeWdkc,6,31,76
gKEWhIgzeS,6,33,80
sJvqRmcCAo,6,31,78
vvwEzIfGpP,6,29,76
AUTkwbgHqI,6,30,69
GudMukUipk,6,30,77
VuJqFsGITK,6,29,65
ZxDgrIqzha,6,31,76
ozVYHgNCbA,6,32,78
HQTOutwkjU,6,30,72
QQPIKxwzVJ,6,32,69
WLjpZNuKnx,6,30,76
CXWDbkmAHO,6,31,78
OEemvtDBqg,6,32,74
QOyKySZsjs,6,30,74
dGfPySamIT,6,32,73
iLroMLiXNJ,6,32,77
HAfyJgJWGA,6,31,79
MwwaFwHBKL,6,30,71
rQQsMfPgER,6,32,74
AEKnAnngAv,6,29,73
BbHMdMVjBs,6,31,85
FuBhJGmXwd,6,29,78
LXVYpyEYdB,6,31,79
PnmRDcsrjx,6,29,67
WVHwlmNkLa,6,31,79
yztAJNZiNN,6,31,74
HbZYYBsKHV,6,32,70
NJqmUyFOdx,6,32,81
TAkRZSoiff,6,32,79
jMFZqtHcGd,6,32,83
BvnGJfecWV,6,31,76
EYhApuDvLA,6,31,75
FmVLCXwbdO,6,32,80
YTzSyOzNPv,6,31,76
AMhiFaRiXH,6,31,76
FMujpiXSPS,6,34,75
KKqSymtytr,6,30,77
OoiUuLBDLg,6,33,81
ZIIBodTyZY,6,31,71
ZcLldUECdN,6,32,69
tdquKTjSND,6,32,80
irDykfVNyX,6,33,77
vAkPBPIwhF,6,29,75
yedOtOyiOq,6,32,78
NDRsXwCDrr,6,32,86
TOuEAjDKAx,6,33,84
rlAEpTAdBW,6,32,79
CsMFeQoaLM,6,32,80
EXcbIHRxSP,6,29,77
QJrdwAARWP,6,33,75
RYLLuDZLrZ,6,32,74
hrvIKPBhYK,6,32,79
pLeFzUJMnH,6,31,80
DJHvUTkzOX,6,33,83
FXZOhJEIzg,6,30,77
KyrhQLqNPz,6,34,82
kkhBvxKiOp,6,32,73
ktUwmfepNJ,6,31,78
NaiBOdAXsp,6,32,79
RMiAgtyKvN,6,31,75
WzwHpoldPp,6,29,74
kyfEkHNhDh,6,33,81
rRmRPRzpPA,6,32,75
tbmSJSWtXZ,6,30,72
yjDawEVIph,6,33,76
FmeGrkvLDt,6,32,68
UzIHDpTKIh,6,33,76
buwNyRhUpz,6,32,80
laUkcybqhJ,6,34,82
AaKCsooJgY,6,28,74
EGEVAFOhDn,6,32,77
JFGTpSDaMr,6,30,79
PkPjUYMjzx,6,33,78
fddDfReEWS,6,33,77
irrIGcmOTM,6,31,81
tEjmXNzgIf,6,33,82
DTuGRpTYSK,6,33,86
GbEyXOTqrf,6,32,77
KqKCqetlbu,6,32,78
hQKKOGXvLu,6,30,76
vybkprKTvN,6,31,77
zIxnsQiuyY,6,30,73
DhHNvWluua,6,32,79
OOJalOIuJR,6,32,82
WVGemlXQsX,6,33,77
bdvjmfSTsU,6,32,79
itEXCvgIqG,6,33,75
ANZEnbkmQy,6,33,76
MUIjVCDoEa,6,30,77
MUtBQpFQRw,6,32,77
SRwLuliAwr,6,30,74
XmyGROxnSY,6,32,77
aRdOKnlBvg,6,31,80
ewHOMNOyIp,6,30,75
vFZowziPWD,6,30,70
zvoiMpXZyl,6,32,75
AhgERedHbP,6,34,78
JDLRYykUvZ,6,32,83
JHtwryoVie,6,33,72
KNrBOmsszC,6,29,73
QtpFCmMrGc,6,34,79
TFuBnkwrMZ,6,31,75
aIxMhEdgXW,6,31,71
oRdpGMZqVv,6,30,76
tCEjDGYMpP,6,33,75
CmrbaxcQph,6,34,79
FxJBErMcuY,6,31,78
vWVSNYxdLR,6,28,70
yTuipTWBjt,6,32,79
EfjymfRMbO,6,32,74
FGybsTmlCa,6,33,78
vLPMuPwesn,6,31,74
AxyvKBckMr,6,32,73
QAINcQAElG,6,30,76
QoSPkdeOcN,6,31,73
ZISgJQTIYe,6,30,79
ZjWSSiDtdL,6,32,81
qkqRyNFZwl,6,31,76
stHoeJDHYZ,6,29,76
wtLahGMgBA,6,32,80
yURSuqrHbG,6,31,77
AGdRPdgtbK,6,31,76
YBBauxrJRx,6,32,79
lrfyjRJVDe,6,33,76
whklOxazbO,6,31,67
VgzPqPFQUJ,6,29,78
bbULZsbSzH,6,29,71
eHvpkmFarn,6,32,73
fUAFFeYyZN,6,31,79
fnmFFTzlpW,6,30,79
klfhtuUdnG,6,32,79
uXsQsnpPzM,6,30,78
PDZFqfSCnw,6,33,75
gmVWRqBoQV,6,32,76
AaawEhhIRa,6,32,76
OXryhijRsq,6,30,75
QGuIwVoSdD,6,34,81
RBDklSsXkt,6,31,81
VHyEqlVDQc,6,32,81
WDodcoiLyV,6,30,75
zRHUXtNVAD,6,28,68
GqfQcmUGER,6,33,73
QMwkYDHkof,6,32,78
okVSvsHYTv,6,32,84
qQxTrHqklY,6,33,76
MyKGMoJmhB,6,32,87
WzfOBUyuKl,6,32,76
RcPCHnSiQK,6,31,83
aTGHRQlzWn,6,32,74
iZOtVYroJd,6,30,79
kcPWkViWeQ,6,32,81
EfhlWiPAUL,6,30,77
GZzKgIdsLS,6,29,75
ZJRzbwjYaM,6,33,77
KRbjMhaDMX,6,31,74
TKiwZaGFEW,6,33,77
ZBBCMZtnxU,6,29,73
jePMLdZOxZ,6,33,77
lbEQqdiMiQ,6,33,78
zLbZKTJNoS,6,32,78
DgMxmdyGUf,6,34,79
MRjyzbOAfJ,6,34,82
mfGbRxVwki,6,30,77
rHrHUuinDi,6,33,79
uEJURlyyEs,6,31,78
YPFpQtnbtY,6,30,78
aKzuRMIgvK,6,32,83
hZvsVsiGbO,6,31,72
lynuPtHkoS,6,31,80
sZtcVQzuVc,6,31,77
vwAsfYMwAB,6,32,68
DmqfqUBZnH,6,33,81
HjAIMyVzrh,6,32,81
KndCfBRhIJ,6,33,78
XtBzsiKfOs,6,33,79
amMBDBUUvV,6,32,80
bgdKSBRhzs,6,34,76
fBVtJIOofJ,6,33,80
frZikyfXNP,6,29,79
gvsutalzBt,6,31,69
hhxqWaWsLA,6,28,77
UEFGXVqVrd,6,29,75
UhEPUfBRmg,6,31,75
YmKryGrJKf,6,33,74
uBfDcSdVgQ,6,31,80
ylDYDoPtpT,6,33,90
GsggmfMRqV,6,30,67
HzfbyeIhdX,6,33,80
NyxIlyEvus,6,29,76
SPCbSYGqCR,6,31,79
WkzIMOgJkS,6,29,76
IDWhVKjnxW,6,31,81
WgMwBmzvJI,6,33,74
ZldclfuucE,6,31,73
avrINItACP,6,32,76
fVqkkxNHhG,6,31,76
mNlCVRIeBc,6,33,85
qyCjOyGFVC,6,32,78
wKAFYQUzPs,6,32,82
BYchYSyqVC,6,32,80
GSjJugXCaq,6,32,78
VLdIOQJoMg,6,33,73
ogoxnXYWfc,6,32,77
GHLOeaybOH,6,32,73
PJacssMYLF,6,32,69
sAxjHTzZxX,6,34,75
IDphzsEknT,6,33,78
QLznuiBdoY,6,32,80
UDucbUSZmf,6,30,76
cbtvbzbRWh,6,33,80
duBcEisEsj,6,29,77
hkKbrByhKB,6,31,70
oWIRERNFAd,6,31,77
xAdcnOwhDr,6,31,67
yiJQHqojhy,6,29,77
nyeSlFHLXJ,6,33,76
qCmErGAHbD,6,33,77
wzQicuOsEE,6,33,82
KIlSZGQiOh,6,32,78
XQqgsBPivb,6,32,79
aSpAQqOnRJ,6,29,67
xeIoKirXzF,6,33,89
ReNRCDHcqZ,6,30,73
ZCYZHbOtBQ,6,32,75
ZuYYBGYpqM,6,33,74
sRLqqorjkH,6,32,73
txIzCzvHKy,6,32,78
ecejgKNjoL,6,28,72
tJVBJkAsIk,6,33,78
wiBGamfrmV,6,34,80
xplsWnyETU,6,32,77
DWwcMYiSAE,6,32,79
DwekpsiydK,6,32,80
ceziKFFyBN,6,33,82
cyedGKnkBl,6,32,81
uOAmUlHQos,6,33,83
vQSvXOABhG,6,32,74
wATbXpdAyK,6,32,79
JhVHCvTQWa,6,32,74
NtbwWxPCpd,6,31,76
YJYkzOBbqo,6,31,74
gGNvtMVsZF,6,29,74
hApMdEppaa,6,31,74
iymcIyjaKw,6,31,77
hGMexblmwH,6,32,77
pAqMCRieoH,6,30,74
qYPljWyHVg,6,31,74
xkThzuCDAY,6,30,79
asoyxgYQhT,6,34,81
nSIOCKPYeU,6,30,76
OFfrtJzcUq,6,30,72
YRmmDyznJu,6,31,70
leRJogPPnD,6,31,76
sRwkKszrXq,6,34,74
YYDzPMCwaj,6,32,75
cwpKFRUvkr,6,30,78
eZIpIjclIC,6,31,80
fEkXlLpsEx,6,29,75
lCJsWrEQOo,6,30,69
vikIMTVuec,6,29,75
EjCJZeCefL,6,33,83
JCOKHWhNCl,6,30,74
NbmtdveYjH,6,32,82
WTcewrLxFS,6,30,70
tLpHgGzsBC,6,33,79
vOyGseCqEm,6,31,65
xYCPtUqRwb,6,32,80
APlaUZaAhr,6,31,71
YnVDmyOZKz,6,31,74
hxEJezKbVe,6,29,74
kJxMKZzRfE,6,33,80
yXjRpJynYk,6,33,81
DuzPHbeKFW,6,31,77
FanoFIBhck,6,32,70
GNraTpxZeh,6,32,78
NWzJeACtDf,6,33,82
YXmUSbWjvq,6,33,83
fIEKotAegd,6,31,73
iBbmdmTWEX,6,31,82
kVHLmGLNEH,6,30,71
rJAPaflfZw,6,31,77
MuVQsFeMXi,6,30,76
ZHSjLEHfDc,6,29,78
nAHGdwJcGB,6,33,77
nykhjnYqIs,6,31,80
MutXOBkUOR,6,32,75
SIoXRhfTSW,6,32,74
dRjgCnDfuC,6,31,79
jZfnWkiaaa,6,33,73
uFcmGgDnWx,6,32,80
xxDSHSNyyP,6,31,74
MVTAtjawTk,6,33,82
YKlPrpQthI,6,31,74
mJCEfixAoh,6,32,75
FoVXqPnuHd,6,31,78
qabBOscpgy,6,31,76
wknmZkRsIm,6,32,82
EDCeUWZAJH,6,33,83
VjiPScBFGF,6,32,71
uTDSAZTKdw,6,31,77
NPeDljvYMx,6,33,75
NcLnQIbjfg,6,32,74
VtfVmimlyD,6,30,79
XXnmAmCasu,6,30,78
eVTooFqebg,6,30,73
iCaZZNPjzs,6,31,74
ipXQWkpeZu,6,31,80
GKVUSaRkrA,6,30,74
QtXbAFQsZb,6,33,82
SZJTkHRajl,6,31,76
dIrNKTmhjQ,6,29,76
kKWOMygLJv,6,30,71
mSLozkLtyf,6,31,72
sNYouVlOpa,6,33,84
IPAwGBQiRC,6,28,76
LpOuvgMZrq,6,29,75
PYhRrrqufn,6,33,82
XNkolWMEey,6,31,72
Ynvvkgthxn,6,32,72
aIAqzmDCXE,6,32,77
pVQcoosDdg,6,31,81
tPzDNhtjKq,6,31,76
RTkddnKvSG,6,33,78
VRuawWxKPq,6,32,84
cFVmHlnmfD,6,30,78
ldesjNoHDj,6,32,77
BiNYEqkmfd,6,33,82
SfYYdhfojI,6,31,80
aurOBmpJWm,6,31,75
rVDjYOUCiZ,6,33,76
vXYTAznQFE,6,31,77
PGiqQSpzov,6,34,90
SxikXNnsrf,6,33,79
eFcLLNOkXl,6,30,74
lNHUBOgUUq,6,33,77
mVSMfLixNY,6,32,79
pRumlkWpLO,6,33,81
rirPasZoWz,6,30,74
JBdasUrdZZ,6,32,76
LLMgZcbVPB,6,32,78
LzHtHCEMmj,6,31,68
RiIzqSwCTc,6,31,76
cMOknwOyzu,6,32,77
lLzPcXlvZa,6,31,74
NbhVeyXgWq,6,31,74
OHFkbArviB,6,30,78
TyWCGdMdAM,6,30,79
WSdMzvPJEp,6,31,74
ayEzTOeqlf,6,31,78
kPLmQfcQpz,6,31,75
mNvPMQdHNv,6,31,77
ImQkdpTdeO,6,31,75
IwcANTpStb,6,32,81
MpwIsPXoSC,6,32,74
OyPkMgUDbd,6,31,79
RztUEfmDrT,6,32,76
aVMRYpWAbV,6,30,80
gheZLWoinq,6,32,78
jJigJkKZUd,6,31,73
pXBbuWstRf,6,32,80
FWxsvobejh,6,31,79
HwQqxNPTQK,6,32,75
OEnehPWWpZ,6,33,73
WxccJpAylz,6,30,76
ZOLjLzXgtQ,6,30,73
bctELoKLXw,6,33,74
ewpFeeyUAI,6,31,78
ogRUjCsmuE,6,30,71
qxnDBaTRqt,6,33,74
BTzVOXUmtE,6,31,75
IcVOSRVSEB,6,30,70
djdQkxVwqo,6,33,80
hTYedXuVwS,6,30,79
KXDRiGiFSw,6,30,69
LpJzZrzCrS,6,32,80
YUTrQHhnDF,6,28,72
orztMoDwjO,6,32,72
rRBPnMdqKx,6,30,81
KyAZnzyoVg,6,30,70
XUrMCSAQcl,6,33,76
neJCYZVDLo,6,30,71
pRVQmupfbd,6,30,72
yKFQNXyPic,6,32,71
CcQXgNmxnD,6,33,75
FmfTITFelQ,6,32,82
MkJdKpHqVq,6,31,77
SeqYxJSnsT,6,30,76
dEEDaoEdqe,6,29,80
ndiLZkxcOB,6,33,78
DxByldiJlV,6,34,73
PqKvVNqmwR,6,32,77
bQXhpQtWNp,6,30,81
lCOqTNPCFV,6,32,78
qInBkNuqie,6,32,77
IvOrlIzYfz,6,32,78
SsxfAtMPUp,6,32,75
DljOEeuyWJ,6,32,73
HojSyqGASE,6,33,75
YRQKqwqabJ,6,30,71
ZEyRMTfnfu,6,31,74
jxjpEIXJNY,6,30,70
TqESuDNBjJ,6,30,80
WbnHoIFCmD,6,32,81
XDpdMRFttS,6,31,77
eZKTVgnWxe,6,33,83
oXDALOBqfk,6,32,82
qtfZpgkkow,6,31,74
AVkNVyOMzy,6,32,74
MJKWEawMBC,6,31,78
yofaYDcyWJ,6,32,79
FvpAevxQRy,6,32,82
LSSEYqEagz,6,33,81
MYNZcwCcTX,6,31,75
PWbKsnVcyQ,6,33,79
RHwQjmZACX,6,31,79
SBvPNdHvkD,6,34,77
SHqxJNJCYS,6,33,79
dkhpNFwiHi,6,32,82
lwjEmkzQNj,6,32,81
wsWDzKQWnF,6,32,79
QMQuGLWNMF,6,32,80
pPAREryhNY,6,33,76
UxAJkiBjlv,6,30,70
bNZOUWCToK,6,32,71
pwXxvVvTag,6,31,75
sSFBDlDpaF,6,32,78
vaPfhlRHRO,6,31,79
AjbaFCtcbJ,6,34,87
IqWgKhGyju,6,32,78
KcOffvromc,6,31,78
EXIjNExlZx,6,29,76
HAuViSJSst,6,30,82
IuktMfbJnc,6,30,70
SrXVvCoUNT,6,28,67
TiwIWgxNDk,6,34,80
bkaCprmYrV,6,32,69
gCXaKCzHgQ,6,33,74
oYNcznnOgJ,6,32,78
VLDiQDZXWF,6,31,74
VaPxXuuWtZ,6,28,70
cgibJqKipZ,6,31,76
iAqPrFZkVP,6,33,79
jEKQLrKUTH,6,32,79
jHONfpPRYZ,6,32,82
jtZLvPHdNE,6,31,75
kcaFcvPYkG,6,32,79
mWmJFGtObp,6,32,76
yNvBZLSwky,6,32,81
GAVHmzoRVT,6,34,79
UNxAVraCBK,6,31,71
aYtLXfzBOE,6,32,79
wInDWSpydA,6,32,67
wTBCLBAKSO,6,32,83
IelBpMhHEF,6,31,68
ZVMnbpzHXK,6,31,76
ZzzawbmNfk,6,30,73
qyrGItXtmT,6,33,79
sHLZFdgmpU,6,33,80
wIqwZGAkRq,6,30,73
AedhWiaPqi,6,31,74
fWextEzdas,6,31,75
qlmeAxeFWJ,6,30,71
uFZSRfIWVX,6,31,77
BgmwSUgmji,6,32,84
FZwYwVYWzf,6,31,78
JzsJVuVzCs,6,32,83
WLQOzjWYfb,6,32,71
fxVlUDSPMc,6,31,73
DVwdKknQQS,6,33,80
OsDFMmUika,6,33,76
RYePfXAeXq,6,31,74
TlftmPGtpA,6,32,75
UsUqLqafHD,6,32,77
nTcayLUbsO,6,33,80
FrrrxNmrzF,6,32,74
JGiawPlVpd,6,33,78
LVjvnofexE,6,31,72
hbEKRhQncc,6,31,71
sGfhgdtkVR,6,31,73
wOAlyANdZh,6,29,75
tnJHBXEkFA,6,29,72
uILoiTaVlc,6,32,81
MlWUJdevSL,6,32,80
UBBptmhiXi,6,29,67
ZKsKIXmCeN,6,30,79
oWFozltJyI,6,32,74
rJWmXhJqHE,6,31,78
rvbTpoDiTG,6,31,78
vAwnWzAdpz,6,31,73
OOXpmYiddw,6,32,79
uqeBjOfSVz,6,32,78
CWEaPfsxDd,6,30,75
DmeZkMpElS,6,30,77
JqcGbIMhFn,6,32,78
RVogboTWCz,6,32,80
dgNSPaSfTE,6,31,77
AasVYySWrX,6,31,79
JEJagTmVmX,6,31,76
dIZzFczUIO,6,32,68
lMCfKVlySO,6,31,73
tyCEirACrD,6,31,78
vtGDCFMTlc,6,34,79
DYponYOtdu,6,31,78
KbVDiKanAc,6,33,75
TzgNxHLklN,6,32,77
YESMrTuLio,6,31,72
bONpclnWek,6,34,77
gNdNMWRVVK,6,32,77
FVNaHqwvlv,6,32,78
JvMaGtoVsW,6,32,83
TWqJpGQpuk,6,30,71
gnGIUNfJqV,6,28,80
pIXwDvrwnG,6,31,76
GpIDnOEdYH,6,33,85
PcgWjDADaz,6,31,76
HmXwlwGPuT,6,29,77
IbTrJUaZuS,6,33,77
SykhnUuOiy,6,30,80
cnJoUiEYVM,6,31,84
qKhUVcTwow,6,31,77
