name,regions,count
vQSvXOABhG,SAVANES,23
irrIGcmOTM,SAVANES,35
bQXhpQtWNp,CENTRALE,37
qHbCFZbeqv,KARA,41
sZtcVQzuVc,KARA,46
jZfnWkiaaa,PLATEAUX,31
kcPWkViWeQ,MARITIME,17
njIblDaQxo,MARITIME,21
meALpnQBFl,MARITIME,10
tCEjDGYMpP,MARITIME,13
OOXpmYiddw,KARA,44
CsMFeQoaLM,KARA,42
LSSEYqEagz,MARITIME,12
ylDYDoPtpT,KARA,53
xMrwhHCgcC,MARITIME,10
VtfVmimlyD,Unknown,34
dYwshzRseD,Unknown,25
OFvNEylNLu,Unknown,23
KRbjMhaDMX,Unknown,22
nTcayLUbsO,Unknown,29
HAuViSJSst,CENTRALE,40
XnMzZAZGDz,CENTRALE,39
osejBtJLAB,CENTRALE,45
njIblDaQxo,SAVANES,31
XtBzsiKfOs,SAVANES,28
zXxJyZETOR,CENTRALE,35
IDphzsEknT,CENTRALE,34
mNvPMQdHNv,CENTRALE,37
cbtvbzbRWh,PLATEAUX,39
MkJdKpHqVq,PLATEAUX,42
XKcjorfNRw,SAVANES,25
ZdcogOJXCj,SAVANES,29
swDofCoafd,PLATEAUX,51
idRaVutnLw,CENTRALE,44
XgRToouYOC,KARA,51
UyJLCDWzzs,KARA,37
oqYPyoLIda,KARA,45
LpJzZrzCrS,KARA,63
HWtrxWlsRj,MARITIME,7
FMujpiXSPS,MARITIME,11
JBdasUrdZZ,MARITIME,25
NDRsXwCDrr,MARITIME,21
RMAAkWOEls,MARITIME,12
GtPzYvLGKa,KARA,34
kKWOMygLJv,KARA,45
wcWAJmEhTe,MARITIME,17
YtCUJsglOM,KARA,53
amMBDBUUvV,Unknown,30
XOSvLGIFrh,Unknown,22
qIBIaIrwAT,Unknown,34
kKNTKcBBIF,Unknown,17
CXWDbkmAHO,Unknown,16
DHgtnkLApc,Unknown,25
RMiAgtyKvN,Unknown,22
DuzPHbeKFW,CENTRALE,44
sktMIFqsds,CENTRALE,33
TyWCGdMdAM,CENTRALE,41
jZfnWkiaaa,CENTRALE,35
YESMrTuLio,CENTRALE,40
yeCoCorNtH,SAVANES,29
TKiwZaGFEW,SAVANES,19
vAkPBPIwhF,SAVANES,33
UFJrnDyCIk,SAVANES,37
NcLnQIbjfg,PLATEAUX,48
JNywlwyguE,PLATEAUX,37
JWtZEHrWsR,CENTRALE,32
rjLtlefVRU,CENTRALE,44
rVDjYOUCiZ,SAVANES,28
uAeSWdbQJv,SAVANES,44
CSVicEEHdq,SAVANES,25
AjbaFCtcbJ,PLATEAUX,50
amzyXHglBx,PLATEAUX,59
IuktMfbJnc,PLATEAUX,45
SrXVvCoUNT,PLATEAUX,42
jxjpEIXJNY,CENTRALE,39
zYdOAwtytX,KARA,40
dyrrCwCdEP,KARA,43
ZHSjLEHfDc,MARITIME,23
FZwYwVYWzf,MARITIME,10
MmIxVLmHhY,MARITIME,17
lrfyjRJVDe,KARA,48
iGnSsLVhQa,MARITIME,13
vWVSNYxdLR,KARA,42
kVHLmGLNEH,KARA,33
UhEPUfBRmg,Unknown,24
JDLRYykUvZ,CENTRALE,41
PnmRDcsrjx,CENTRALE,37
sRLqqorjkH,CENTRALE,43
AwzYubLqXX,CENTRALE,35
ayEzTOeqlf,CENTRALE,40
ytrjMrxzlO,SAVANES,29
OsDFMmUika,PLATEAUX,36
vEQATYlCxa,CENTRALE,37
rJWmXhJqHE,PLATEAUX,41
CScWfctHnj,PLATEAUX,39
BiNYEqkmfd,PLATEAUX,62
vtGDCFMTlc,PLATEAUX,46
sPDEWSCsKe,SAVANES,23
HDZKodHwjE,SAVANES,25
XQqgsBPivb,SAVANES,23
ZZfNnZytXW,PLATEAUX,42
KNrBOmsszC,PLATEAUX,47
UWgavSMUps,MARITIME,12
IQlbyHMuJm,KARA,48
XxEFcyAuUH,CENTRALE,42
HjAIMyVzrh,KARA,50
EDCeUWZAJH,KARA,56
zgHOvuGdmZ,KARA,41
lBbneyUdpV,KARA,37
TLyOlzgZFy,Unknown,26
SkbPdFPpRl,Unknown,30
mWmJFGtObp,Unknown,23
BEGhLiPIch,Unknown,20
BTzVOXUmtE,Unknown,29
FmfTITFelQ,CENTRALE,36
MgqQtXBeFP,CENTRALE,46
tmRCipLLwy,CENTRALE,36
VLTcsprApa,CENTRALE,43
BvnGJfecWV,CENTRALE,40
NaiBOdAXsp,SAVANES,33
jxjpEIXJNY,SAVANES,17
kFdPLjiokX,PLATEAUX,55
JhVHCvTQWa,PLATEAUX,42
vQSvXOABhG,PLATEAUX,38
sAMKobgXOs,PLATEAUX,57
QeJWGbxiIf,SAVANES,22
wzQicuOsEE,KARA,53
JvMaGtoVsW,KARA,40
kcPWkViWeQ,KARA,56
zpTweudaaD,PLATEAUX,38
SIoXRhfTSW,PLATEAUX,46
cZzlioFPLu,MARITIME,9
DuzPHbeKFW,MARITIME,13
JyGYBsSFuk,MARITIME,12
KndCfBRhIJ,MARITIME,15
NVsOXrSKam,KARA,37
cZzlioFPLu,KARA,53
uEJURlyyEs,MARITIME,14
pIXwDvrwnG,KARA,44
OtFfOxcGMu,KARA,46
ZKsKIXmCeN,MARITIME,14
UDucbUSZmf,KARA,43
cFVmHlnmfD,MARITIME,12
yNvBZLSwky,Unknown,22
AjjCWKeWXU,Unknown,25
UAHdDuyIeM,Unknown,19
gKEWhIgzeS,Unknown,27
lPJLmbcvMa,CENTRALE,32
SkDpHjHaTE,CENTRALE,52
jZfnWkiaaa,SAVANES,24
TzgNxHLklN,PLATEAUX,50
pCfiQabAHL,PLATEAUX,47
CQEXACWfyh,PLATEAUX,50
fIZJVXncRk,PLATEAUX,46
LzHtHCEMmj,PLATEAUX,46
vybkprKTvN,SAVANES,20
MUtBQpFQRw,PLATEAUX,50
GpIDnOEdYH,KARA,52
VaPxXuuWtZ,PLATEAUX,32
YXmUSbWjvq,MARITIME,15
ldesjNoHDj,MARITIME,13
YnVDmyOZKz,MARITIME,13
vaPfhlRHRO,MARITIME,13
fxVlUDSPMc,KARA,45
cMOknwOyzu,KARA,47
IcVOSRVSEB,MARITIME,17
yztAJNZiNN,Unknown,25
fBVtJIOofJ,Unknown,36
XtBzsiKfOs,Unknown,23
iCaZZNPjzs,SAVANES,24
whklOxazbO,Unknown,25
fUAFFeYyZN,Unknown,28
yiJQHqojhy,Unknown,34
byiPUgprau,CENTRALE,36
BiNYEqkmfd,CENTRALE,35
ZJRzbwjYaM,SAVANES,35
qKhUVcTwow,SAVANES,30
FUSzvJPVFA,SAVANES,28
pjjlDwunYH,SAVANES,29
DWwcMYiSAE,SAVANES,26
GjGNnFAHAd,SAVANES,33
xxDSHSNyyP,PLATEAUX,34
jHONfpPRYZ,SAVANES,30
LySPboXRJq,SAVANES,27
RztUEfmDrT,PLATEAUX,48
hqhkPOYdoU,MARITIME,14
XtBzsiKfOs,KARA,40
UEFGXVqVrd,MARITIME,14
bQXhpQtWNp,MARITIME,15
LVjvnofexE,MARITIME,18
TpwIZgycjl,MARITIME,10
ogoxnXYWfc,MARITIME,17
KNrBOmsszC,MARITIME,10
dJSvXqUVSY,Unknown,27
cMOknwOyzu,Unknown,27
pPAREryhNY,Unknown,24
PGROltGVku,Unknown,23
CRBrRLxhvz,Unknown,24
lCzujKzQEH,Unknown,30
sZtcVQzuVc,CENTRALE,35
yedOtOyiOq,CENTRALE,41
KQfUwIVvVV,CENTRALE,46
usdHetXxKX,CENTRALE,34
GtIDsRFBJR,CENTRALE,52
lILvNwZpJg,SAVANES,30
lsneLOyaWq,PLATEAUX,41
YBBauxrJRx,PLATEAUX,52
JIyRoxZbUh,PLATEAUX,51
frZikyfXNP,SAVANES,25
McmTeYfIvC,SAVANES,35
HdAIRIgWMB,SAVANES,22
WkYMqONJIk,PLATEAUX,34
whklOxazbO,PLATEAUX,36
uEJURlyyEs,PLATEAUX,55
sscGOWmTcr,PLATEAUX,39
BYchYSyqVC,MARITIME,10
tbDycaGhZM,MARITIME,16
yiJQHqojhy,MARITIME,8
wmyAJISQoE,KARA,59
KcOffvromc,KARA,59
dsBHAdXrrk,KARA,46
IVyaRiYjnT,MARITIME,17
gnGIUNfJqV,MARITIME,16
HbZYYBsKHV,MARITIME,15
cwpKFRUvkr,KARA,46
iOqJrYhaSI,KARA,49
lMCfKVlySO,SAVANES,20
giGYPsFMLe,Unknown,24
DKPYCgMoYm,Unknown,22
ozVYHgNCbA,Unknown,36
ZxDgrIqzha,Unknown,29
QVPqLwIIAe,Unknown,27
lsneLOyaWq,SAVANES,26
WLjpZNuKnx,SAVANES,26
ogoxnXYWfc,SAVANES,30
hTYedXuVwS,SAVANES,28
rJAPaflfZw,SAVANES,29
AaawEhhIRa,SAVANES,34
aIxMhEdgXW,PLATEAUX,40
fgUGpjgzXk,PLATEAUX,55
dGfPySamIT,SAVANES,23
RMiAgtyKvN,SAVANES,20
jTJlZyVkFP,CENTRALE,35
KqKCqetlbu,KARA,54
WgMwBmzvJI,KARA,53
ZHSjLEHfDc,KARA,35
XASKSjEQKp,MARITIME,18
kHvRKmzbkc,MARITIME,10
bONpclnWek,MARITIME,13
ZcLldUECdN,MARITIME,15
ZUTGZZkcRe,KARA,41
hjUBijNMcB,KARA,43
mMSHSilfqR,KARA,53
FSKqEXXvfu,KARA,55
QsmkpTqIke,KARA,36
xceGzedNsY,KARA,46
AedhWiaPqi,KARA,65
AlmSecyCrd,MARITIME,15
QoSPkdeOcN,Unknown,30
bctELoKLXw,Unknown,34
YagmkwZKJE,Unknown,23
HTNQoGUbGf,Unknown,24
hNKyGUZvKP,Unknown,23
wOAlyANdZh,Unknown,23
XKcjorfNRw,Unknown,30
sJvqRmcCAo,Unknown,11
DZrnxkCrGa,CENTRALE,49
MyKGMoJmhB,CENTRALE,36
gnGIUNfJqV,CENTRALE,48
pvMOTvkwXO,CENTRALE,44
AedhWiaPqi,CENTRALE,35
wcWAJmEhTe,SAVANES,33
pVQcoosDdg,SAVANES,30
fddDfReEWS,SAVANES,36
jcdTKCpPut,SAVANES,25
JDLRYykUvZ,SAVANES,28
ANZEnbkmQy,SAVANES,28
CRNlPblBMx,SAVANES,30
TWRFrKNwqy,PLATEAUX,43
iOqJrYhaSI,CENTRALE,46
DmeZkMpElS,PLATEAUX,57
fBVtJIOofJ,PLATEAUX,48
VtfVmimlyD,CENTRALE,39
wtLahGMgBA,SAVANES,26
oHHeRbFfEv,KARA,46
aRWorldfhg,KARA,50
KiPnIUXYqs,KARA,49
tJVBJkAsIk,MARITIME,14
RXOPashdsl,MARITIME,16
uTDSAZTKdw,MARITIME,7
VtfVmimlyD,MARITIME,16
dJSvXqUVSY,KARA,52
MwwaFwHBKL,KARA,51
iWxtzZgTKO,KARA,55
eFcLLNOkXl,KARA,51
vikIMTVuec,MARITIME,13
BYchYSyqVC,KARA,46
vfIkaweSRw,MARITIME,8
yTuipTWBjt,Unknown,30
qHbCFZbeqv,Unknown,13
otcUfMSjlb,Unknown,26
mJWGtFIzUT,Unknown,36
DHgtnkLApc,CENTRALE,44
yofaYDcyWJ,CENTRALE,37
eeisrwgClH,CENTRALE,52
ktUwmfepNJ,CENTRALE,45
oWFozltJyI,CENTRALE,30
ZzzawbmNfk,CENTRALE,47
fUAFFeYyZN,SAVANES,30
sQGOjnDvvt,CENTRALE,41
jTJlZyVkFP,SAVANES,32
hvbvXyyZQE,SAVANES,26
KyAZnzyoVg,CENTRALE,31
NaficwxEvQ,KARA,54
bWwiWnpWxs,MARITIME,10
RVqdDcQCth,MARITIME,12
GudMukUipk,MARITIME,13
QeJWGbxiIf,MARITIME,18
cFVmHlnmfD,KARA,58
IcBmDOrMRa,KARA,47
cbtvbzbRWh,MARITIME,12
DhHNvWluua,KARA,40
DKPYCgMoYm,MARITIME,14
KwueEyygvj,Unknown,22
bgdKSBRhzs,Unknown,28
kHvRKmzbkc,Unknown,27
ZKsKIXmCeN,Unknown,30
sSFBDlDpaF,Unknown,17
eGwidYFuZD,CENTRALE,38
RVqdDcQCth,CENTRALE,36
mVhYNnciWW,CENTRALE,50
MRjyzbOAfJ,SAVANES,27
OWDaxBbECr,SAVANES,26
pUGyOhdpWf,PLATEAUX,55
XUrMCSAQcl,PLATEAUX,49
vAkPBPIwhF,PLATEAUX,37
nykhjnYqIs,CENTRALE,56
ogRUjCsmuE,PLATEAUX,65
dGfPySamIT,PLATEAUX,40
eGwidYFuZD,PLATEAUX,38
MlWUJdevSL,PLATEAUX,47
BACHlCiCAb,SAVANES,25
UGDojtMoWq,SAVANES,30
iVZgDwcEYU,SAVANES,22
OUrWUWrtPT,SAVANES,30
IcVOSRVSEB,SAVANES,23
XXnmAmCasu,KARA,60
DJHvUTkzOX,KARA,56
RiBAkZqeyg,KARA,47
EqZlVNJYoJ,PLATEAUX,49
UsFoBbrsvZ,MARITIME,13
HzfbyeIhdX,KARA,44
uAeSWdbQJv,KARA,51
qMbaqKEvTx,Unknown,27
AjbaFCtcbJ,Unknown,26
ROuebiUUVa,Unknown,24
utnMALLASm,Unknown,22
qsjAsuFOgs,Unknown,29
TTukgLnomN,Unknown,23
wTBCLBAKSO,Unknown,27
RBDklSsXkt,CENTRALE,42
tJJxMfkxYb,CENTRALE,39
lKzXyxgDhE,CENTRALE,40
MwwaFwHBKL,CENTRALE,37
neJCYZVDLo,CENTRALE,42
wOAlyANdZh,SAVANES,28
jtZLvPHdNE,SAVANES,30
eGwidYFuZD,SAVANES,28
wcWAJmEhTe,PLATEAUX,50
zJBJiicWQP,PLATEAUX,45
SWrVGAUaYc,SAVANES,29
mNlCVRIeBc,SAVANES,30
cwpKFRUvkr,PLATEAUX,50
nSIOCKPYeU,PLATEAUX,41
YezRGHjpnb,SAVANES,25
CzkSkJOneX,PLATEAUX,50
qYPljWyHVg,MARITIME,10
mWmJFGtObp,MARITIME,8
AtJvmmmRmW,MARITIME,14
QOpgXgWkUp,MARITIME,12
FZwYwVYWzf,CENTRALE,42
TsdtSZAAjD,KARA,39
tbQleqKEbx,PLATEAUX,55
pRVQmupfbd,MARITIME,9
SZJTkHRajl,MARITIME,12
HbZYYBsKHV,Unknown,25
VLDiQDZXWF,Unknown,24
dgNSPaSfTE,Unknown,29
ybfXwoTOIB,Unknown,26
cTTmiuNsBv,Unknown,23
aSpAQqOnRJ,Unknown,32
NVsOXrSKam,Unknown,34
tCEjDGYMpP,CENTRALE,36
WVHwlmNkLa,CENTRALE,37
HmXwlwGPuT,CENTRALE,45
cnvqhtEuSm,CENTRALE,35
BiNYEqkmfd,SAVANES,29
wmJuEMcdRd,PLATEAUX,32
RDaOnaMCTV,CENTRALE,46
MlWUJdevSL,CENTRALE,46
eVTooFqebg,CENTRALE,36
kKWOMygLJv,PLATEAUX,54
iGnSsLVhQa,SAVANES,24
olPjbxYqCi,SAVANES,28
rlAEpTAdBW,KARA,48
gmVWRqBoQV,KARA,32
xMrwhHCgcC,KARA,56
pvMOTvkwXO,KARA,41
GudMukUipk,KARA,49
JshuzUxeoH,MARITIME,14
QOyKySZsjs,KARA,43
AWrbWzWkYp,KARA,52
dgNSPaSfTE,KARA,64
gNdNMWRVVK,MARITIME,15
sRLqqorjkH,KARA,35
NWzJeACtDf,KARA,44
vAkPBPIwhF,MARITIME,10
ZuYYBGYpqM,KARA,54
uFcmGgDnWx,Unknown,29
pwXxvVvTag,Unknown,25
RVqdDcQCth,Unknown,33
SykhnUuOiy,CENTRALE,35
PvvGKdxbUZ,SAVANES,29
bNhDNxmBoW,PLATEAUX,55
AWrbWzWkYp,PLATEAUX,35
ogoxnXYWfc,PLATEAUX,41
zIpKVeqexV,PLATEAUX,49
iZOtVYroJd,CENTRALE,44
BYchYSyqVC,PLATEAUX,51
ReNRCDHcqZ,PLATEAUX,35
JEJagTmVmX,PLATEAUX,50
UzIHDpTKIh,SAVANES,32
TWqJpGQpuk,SAVANES,29
aTGHRQlzWn,CENTRALE,44
tbDycaGhZM,SAVANES,30
povJVGLkoa,KARA,52
KRbjMhaDMX,KARA,41
aIAqzmDCXE,MARITIME,12
XtBzsiKfOs,MARITIME,15
ptudOnjdRU,MARITIME,7
ozVYHgNCbA,MARITIME,10
qMbaqKEvTx,KARA,65
pVQcoosDdg,MARITIME,11
thYTDgQYkj,MARITIME,8
DmqfqUBZnH,Unknown,30
GHLOeaybOH,Unknown,33
MJKWEawMBC,Unknown,23
ytrjMrxzlO,Unknown,28
kHvRKmzbkc,CENTRALE,50
FGybsTmlCa,CENTRALE,39
gNdNMWRVVK,SAVANES,22
uBfDcSdVgQ,SAVANES,25
JqcGbIMhFn,PLATEAUX,44
PcqSMaYSbu,PLATEAUX,52
iCaZZNPjzs,PLATEAUX,39
IPAwGBQiRC,PLATEAUX,41
BbHMdMVjBs,PLATEAUX,50
rVDjYOUCiZ,KARA,57
kncczthuUU,KARA,43
GZoAMDsevu,MARITIME,19
VLdIOQJoMg,MARITIME,16
UsUqLqafHD,MARITIME,11
WGBmXsYiOj,KARA,36
SykhnUuOiy,KARA,39
NgGnrxtAfv,KARA,43
JUHkrKtOLf,KARA,50
WkJLcgJayz,SAVANES,31
fIZJVXncRk,Unknown,28
tJVBJkAsIk,Unknown,26
GtIDsRFBJR,Unknown,26
wzQicuOsEE,Unknown,20
eGwidYFuZD,Unknown,20
rWDwpQNHgI,Unknown,31
hkKbrByhKB,Unknown,24
FUSzvJPVFA,Unknown,30
rVDjYOUCiZ,Unknown,27
MtCtlnflji,CENTRALE,40
tbDycaGhZM,CENTRALE,28
vWVSNYxdLR,CENTRALE,38
DgENjcsCZV,CENTRALE,36
iGnSsLVhQa,CENTRALE,41
MQHEOdAbZm,CENTRALE,36
uFZSRfIWVX,CENTRALE,45
uEJURlyyEs,SAVANES,26
dgNSPaSfTE,PLATEAUX,48
fNgbhjgzdh,PLATEAUX,46
IwcANTpStb,PLATEAUX,43
vaPfhlRHRO,PLATEAUX,48
blEUAqlsRX,CENTRALE,33
bQXhpQtWNp,SAVANES,18
CcQXgNmxnD,SAVANES,26
gPWJPuaXKL,KARA,49
bQdsaYgNLX,KARA,52
EejkBiuisA,MARITIME,17
WhCdBCpDlt,MARITIME,11
sPogoJYZEX,MARITIME,20
CXRpRFmPNR,MARITIME,10
tonLBGQuSV,SAVANES,17
jTJlZyVkFP,KARA,38
rRBPnMdqKx,MARITIME,12
wIqwZGAkRq,MARITIME,10
kKWOMygLJv,MARITIME,15
izSmTsWlnn,Unknown,21
GKVUSaRkrA,Unknown,34
FtMfdJnLrr,Unknown,28
XxEFcyAuUH,Unknown,20
VgzPqPFQUJ,CENTRALE,36
QsmkpTqIke,CENTRALE,47
zLbZKTJNoS,CENTRALE,30
PnmRDcsrjx,SAVANES,19
prxHvLSySc,PLATEAUX,50
PGiqQSpzov,CENTRALE,41
tnJHBXEkFA,SAVANES,23
svuCPzHHDw,SAVANES,22
hNKyGUZvKP,SAVANES,32
UuwKOhOOEp,KARA,54
aYtLXfzBOE,KARA,54
WbnHoIFCmD,KARA,63
lMZGCsCnsS,MARITIME,15
JEJagTmVmX,SAVANES,22
GHLOeaybOH,KARA,46
zIxnsQiuyY,KARA,41
GfQgzNkQHE,KARA,41
gmVWRqBoQV,MARITIME,13
TyWCGdMdAM,MARITIME,10
UzIHDpTKIh,Unknown,20
oGBBNprFLK,MARITIME,8
eEZhgiwXcE,Unknown,30
QAINcQAElG,Unknown,18
GKVUSaRkrA,CENTRALE,45
ygMEXUQDbn,CENTRALE,44
gghKDooQRp,CENTRALE,45
wsWDzKQWnF,CENTRALE,32
PeusZvtMjk,CENTRALE,46
tQEElXPRrD,CENTRALE,44
PbRfzosOyI,SAVANES,24
ZBBCMZtnxU,SAVANES,17
RDaOnaMCTV,SAVANES,32
xplsWnyETU,PLATEAUX,42
svuCPzHHDw,PLATEAUX,42
XOSvLGIFrh,CENTRALE,38
GbEyXOTqrf,PLATEAUX,59
ipXQWkpeZu,PLATEAUX,49
JvMaGtoVsW,SAVANES,30
yofaYDcyWJ,PLATEAUX,48
GHLOeaybOH,CENTRALE,35
OBrvsvlwmE,SAVANES,18
eZIpIjclIC,KARA,47
fNgbhjgzdh,KARA,48
oWFozltJyI,KARA,57
sAxjHTzZxX,KARA,55
wATbXpdAyK,KARA,47
ptudOnjdRU,KARA,55
MJKWEawMBC,KARA,54
GVwjVxGtco,MARITIME,8
GtIDsRFBJR,KARA,46
gCXaKCzHgQ,MARITIME,14
VgzPqPFQUJ,KARA,43
buwNyRhUpz,Unknown,29
AsvtszbEnV,Unknown,26
CXcwyCjINx,Unknown,27
aurOBmpJWm,Unknown,25
jZfnWkiaaa,Unknown,22
XASKSjEQKp,Unknown,22
hNKyGUZvKP,CENTRALE,34
lMCfKVlySO,CENTRALE,46
rFFUBynNSh,CENTRALE,39
fxVlUDSPMc,CENTRALE,34
leRJogPPnD,CENTRALE,42
rCLoXTUsJK,SAVANES,29
CsMFeQoaLM,SAVANES,23
YTzSyOzNPv,PLATEAUX,49
kPLmQfcQpz,PLATEAUX,39
tFPWYsBmKO,CENTRALE,36
KbxhvMwzfe,SAVANES,21
qIiquzKsbI,SAVANES,23
zvoiMpXZyl,PLATEAUX,47
xMrwhHCgcC,PLATEAUX,39
fgUGpjgzXk,SAVANES,30
NgGnrxtAfv,SAVANES,25
OXryhijRsq,KARA,37
EfhlWiPAUL,PLATEAUX,48
CzkSkJOneX,MARITIME,14
HDZKodHwjE,MARITIME,16
aYtLXfzBOE,MARITIME,16
HNQbVKqVtS,SAVANES,26
oYNcznnOgJ,KARA,52
AaawEhhIRa,KARA,35
TWRFrKNwqy,KARA,44
YdgolrVLkw,MARITIME,23
QfCQVnESPU,MARITIME,16
HYvKBZhHtl,KARA,44
ZjWSSiDtdL,KARA,58
JzsJVuVzCs,MARITIME,12
iTISiQNqAr,MARITIME,16
cnvqhtEuSm,MARITIME,11
olPjbxYqCi,MARITIME,8
DWwcMYiSAE,Unknown,19
YosNCLWrFL,Unknown,30
OUrWUWrtPT,Unknown,32
GmgFVkcBZD,Unknown,25
TQzbSOuJSc,Unknown,25
lMZGCsCnsS,Unknown,23
NAbSoyFhvh,Unknown,36
zIpKVeqexV,CENTRALE,36
UYzTFvkCmv,CENTRALE,41
QvkeuBfZDR,SAVANES,26
UYzlVizviG,SAVANES,23
PeusZvtMjk,PLATEAUX,47
McmTeYfIvC,PLATEAUX,50
