unique_id,consumption,proxy0,proxy1,proxy2,proxy3,proxy4,characteristic0,characteristic1,characteristic2,characteristic3,characteristic4,weight
41,0,0,0,3,3,1,group1,group0,group1,group2,group1,95
42,0,5,4,0,1,7,group1,group3,group0,group0,group0,95
43,0,1,2,5,4,6,group1,group0,group1,group0,group0,73
44,0,3,7,0,3,7,group0,group2,group0,group3,group1,23
45,0,4,3,5,2,4,group0,group3,group0,group2,group0,98
46,0,4,4,0,5,1,group0,group0,group0,group1,group0,87
47,0,3,2,5,2,4,group1,group1,group0,group2,group1,11
48,0,4,4,6,3,2,group0,group1,group1,group1,group1,49
49,0,2,5,2,1,0,group1,group2,group0,group1,group1,87
50,0,5,4,4,7,8,group1,group2,group1,group2,group0,96
51,0,2,5,0,5,3,group1,group2,group1,group3,group1,71
52,0,4,7,6,0,2,group0,group2,group1,group1,group0,39
53,0,2,1,6,0,6,group1,group0,group0,group3,group1,74
54,0,3,4,3,1,8,group0,group3,group1,group0,group0,76
55,0,6,2,4,5,0,group0,group2,group0,group3,group0,39
56,0,3,1,1,1,0,group0,group1,group1,group2,group1,91
57,0,0,1,5,3,0,group1,group0,group1,group3,group0,35
58,0,2,1,4,2,7,group0,group0,group1,group3,group1,20
59,0,7,7,1,7,7,group0,group3,group1,group2,group0,22
60,0,1,3,6,6,4,group1,group0,group1,group3,group0,16
61,0,6,4,2,0,3,group0,group3,group1,group0,group1,90
62,0,2,3,2,4,2,group1,group2,group1,group3,group0,29
63,0,3,3,2,2,1,group1,group1,group0,group0,group1,83
64,0,4,4,0,4,5,group0,group3,group1,group1,group0,16
65,0,5,1,3,2,8,group1,group1,group1,group2,group1,78
66,0,1,2,5,3,7,group0,group1,group0,group0,group0,39
67,0,2,6,3,4,6,group1,group1,group1,group3,group0,79
68,0,2,2,6,5,4,group1,group1,group1,group1,group0,39
69,0,4,4,5,4,5,group1,group3,group1,group2,group1,23
70,0,3,5,5,3,4,group1,group1,group0,group0,group1,16
71,0,7,4,0,3,4,group1,group3,group1,group1,group1,50
72,0,4,3,1,1,8,group1,group2,group1,group3,group1,72
73,0,3,3,3,0,4,group1,group0,group0,group3,group1,15
74,0,5,5,0,4,7,group1,group1,group1,group3,group1,46
75,0,5,7,0,6,4,group1,group3,group0,group3,group0,84
76,0,2,5,0,5,1,group1,group2,group1,group1,group0,80
77,0,3,2,2,6,3,group0,group1,group0,group1,group1,80
78,0,4,4,2,6,5,group0,group1,group1,group3,group1,35
79,0,5,4,5,3,1,group0,group2,group0,group3,group1,27
80,0,1,2,2,4,4,group1,group1,group1,group2,group0,49
81,0,3,6,0,0,1,group0,group3,group0,group2,group1,48
82,0,5,3,2,4,1,group0,group2,group0,group0,group1,71
83,0,3,4,0,6,1,group1,group0,group0,group2,group0,61
84,0,1,1,0,5,5,group1,group1,group1,group3,group1,65
85,0,2,2,5,6,7,group1,group2,group0,group3,group0,35
86,0,2,1,5,6,2,group0,group0,group1,group0,group1,15
87,0,6,5,4,5,2,group0,group3,group1,group0,group1,57
88,0,4,8,1,7,1,group0,group3,group1,group0,group0,31
89,0,4,7,6,1,7,group1,group2,group0,group3,group1,40
90,0,4,6,5,6,2,group1,group1,group0,group0,group1,28
91,0,5,5,2,4,6,group0,group1,group1,group3,group0,90
92,0,3,0,3,3,1,group0,group0,group0,group1,group0,31
93,0,3,4,4,4,3,group0,group0,group1,group3,group0,75
94,0,1,5,1,6,5,group0,group0,group1,group3,group0,76
95,0,6,7,5,1,7,group0,group2,group1,group1,group0,72
96,0,5,5,2,1,5,group0,group3,group1,group0,group0,58
97,0,3,5,0,3,7,group0,group0,group0,group3,group0,21
98,0,0,1,3,3,7,group0,group0,group1,group2,group0,51
99,0,1,5,4,2,2,group1,group1,group0,group3,group1,55
100,0,5,5,3,0,6,group0,group3,group0,group0,group0,12
101,0,5,4,6,6,0,group1,group1,group0,group2,group0,92
102,0,7,6,4,1,2,group1,group3,group1,group2,group0,14
103,0,5,3,2,2,7,group1,group2,group1,group1,group0,49
104,0,4,5,5,2,1,group1,group2,group0,group3,group1,58
105,0,3,6,6,0,6,group1,group2,group1,group2,group1,84
106,0,2,2,4,6,5,group1,group1,group0,group3,group0,27
107,0,3,5,6,7,6,group1,group2,group0,group1,group1,72
108,0,4,4,5,1,0,group0,group2,group1,group0,group1,58
109,0,4,3,6,5,0,group0,group3,group0,group3,group1,28
110,0,5,7,0,5,4,group1,group2,group0,group3,group0,78
111,0,3,4,1,2,8,group1,group3,group0,group3,group1,20
112,0,1,0,3,4,1,group1,group0,group1,group0,group0,75
113,0,0,1,5,0,5,group0,group0,group0,group3,group0,94
114,0,6,7,2,2,8,group0,group2,group0,group3,group1,25
115,0,6,3,5,4,3,group0,group3,group0,group3,group1,69
116,0,3,5,1,3,1,group1,group2,group0,group1,group0,87
117,0,6,4,5,5,1,group1,group3,group0,group0,group0,43
118,0,2,7,1,5,6,group1,group2,group0,group0,group0,43
119,0,3,4,2,0,0,group0,group3,group1,group3,group1,73
120,0,5,3,4,5,5,group0,group2,group0,group3,group0,39
121,0,4,5,6,6,5,group1,group2,group0,group2,group1,93
122,0,5,8,3,3,5,group0,group3,group1,group1,group1,97
123,0,3,3,5,3,6,group0,group1,group1,group0,group0,69
124,0,2,4,3,3,8,group1,group1,group1,group2,group0,80
125,0,5,3,2,6,1,group0,group2,group0,group1,group1,62
126,0,5,5,1,4,8,group1,group1,group1,group1,group0,14
127,0,6,8,5,0,2,group1,group3,group0,group1,group1,11
128,0,4,3,1,5,4,group1,group3,group0,group2,group1,17
129,0,1,1,6,1,2,group0,group1,group1,group2,group0,46
130,0,3,4,0,2,8,group0,group0,group1,group1,group0,41
131,0,0,3,5,5,0,group0,group0,group0,group2,group0,66
132,0,4,3,4,1,3,group0,group1,group1,group0,group1,42
133,0,1,0,3,7,8,group1,group0,group0,group3,group1,47
134,0,4,5,3,3,7,group1,group1,group1,group2,group1,56
135,0,5,4,0,3,3,group0,group2,group1,group0,group1,42
136,0,1,2,0,6,1,group1,group1,group1,group0,group0,78
137,0,4,3,3,1,6,group0,group3,group0,group0,group0,64
138,0,5,4,4,0,3,group0,group1,group1,group2,group1,74
139,0,3,6,0,1,3,group1,group1,group1,group3,group1,33
140,0,2,2,6,3,1,group0,group1,group1,group2,group1,88
141,0,1,3,2,3,8,group0,group0,group0,group0,group0,14
142,0,2,3,2,3,8,group0,group0,group1,group0,group0,84
143,0,0,4,2,4,3,group1,group0,group0,group0,group1,94
144,0,4,5,3,4,8,group1,group2,group0,group3,group1,52
145,0,3,8,4,5,2,group1,group3,group0,group3,group0,28
146,0,6,6,3,6,6,group1,group2,group0,group3,group1,62
147,0,3,5,6,0,6,group0,group0,group0,group1,group1,12
148,0,2,5,5,0,3,group0,group1,group0,group0,group1,72
149,0,0,4,0,0,6,group0,group0,group0,group2,group0,74
150,0,3,6,6,7,5,group1,group2,group1,group0,group1,45
151,0,6,3,3,6,8,group1,group2,group0,group2,group1,61
152,0,3,2,6,3,5,group1,group1,group1,group1,group0,41
153,0,3,8,0,5,2,group1,group3,group1,group1,group0,60
154,0,4,3,5,4,3,group1,group1,group1,group1,group0,50
155,0,5,4,3,6,6,group1,group2,group0,group0,group0,96
156,0,5,6,6,3,0,group0,group3,group0,group1,group0,79
157,0,5,4,6,1,1,group0,group1,group1,group3,group1,28
158,0,1,2,5,2,3,group0,group1,group1,group1,group0,18
159,0,4,5,1,3,8,group1,group1,group1,group2,group1,47
160,0,1,3,4,1,2,group0,group1,group0,group3,group0,55
161,0,2,7,1,1,8,group1,group2,group0,group2,group0,18
162,0,4,5,5,7,7,group0,group0,group1,group1,group0,84
163,0,2,5,1,1,8,group0,group1,group0,group3,group0,21
164,0,4,4,4,5,7,group1,group1,group0,group0,group1,36
165,0,5,5,0,0,5,group1,group2,group1,group1,group0,14
166,0,5,5,0,6,5,group0,group2,group0,group3,group0,25
167,0,5,7,4,5,1,group1,group2,group0,group3,group1,72
168,0,4,7,1,3,7,group0,group2,group1,group1,group1,77
169,0,5,3,5,5,7,group1,group3,group0,group3,group1,82
170,0,4,2,6,0,0,group1,group0,group0,group3,group1,25
171,0,7,5,5,6,1,group1,group3,group0,group3,group0,79
172,0,4,4,0,0,2,group1,group3,group1,group1,group1,68
173,0,4,2,2,7,8,group0,group0,group1,group1,group1,76
174,0,1,4,2,7,1,group0,group1,group0,group0,group1,46
175,0,4,4,4,0,0,group0,group0,group0,group1,group1,96
176,0,3,3,5,6,1,group1,group3,group1,group0,group0,20
177,0,3,1,3,7,0,group0,group1,group0,group3,group0,18
178,0,5,3,0,3,1,group0,group2,group1,group0,group1,21
179,0,3,6,6,3,2,group0,group2,group1,group0,group1,66
180,0,5,1,4,3,4,group1,group1,group0,group2,group0,47
181,0,5,8,3,4,5,group0,group3,group1,group3,group0,52
182,0,1,6,6,7,6,group0,group1,group1,group0,group1,45
183,0,4,5,1,6,3,group0,group3,group1,group3,group0,21
184,0,0,0,1,2,5,group1,group0,group1,group1,group1,73
185,0,1,1,4,3,8,group0,group0,group0,group3,group1,78
186,0,5,8,5,4,5,group1,group3,group0,group2,group0,25
187,0,6,6,5,0,7,group0,group2,group1,group1,group0,60
188,0,4,5,5,6,8,group0,group0,group1,group3,group1,24
189,0,3,6,1,3,8,group1,group1,group1,group3,group1,39
190,0,1,2,4,6,8,group0,group1,group1,group0,group0,84
191,0,0,2,0,6,3,group1,group0,group1,group1,group1,74
192,0,6,4,0,1,2,group1,group3,group0,group1,group0,20
193,0,2,5,5,1,3,group1,group1,group1,group2,group0,16
194,0,4,5,3,7,0,group1,group3,group0,group0,group0,40
195,0,3,2,4,0,5,group1,group2,group1,group2,group0,44
196,0,4,5,4,3,3,group1,group0,group0,group1,group0,66
197,0,4,7,4,5,7,group1,group3,group1,group0,group0,53
198,0,3,7,3,4,2,group1,group3,group0,group0,group0,50
199,0,6,6,1,3,4,group1,group3,group0,group1,group0,50
200,0,6,5,0,4,7,group1,group2,group1,group3,group0,30
201,0,7,4,2,6,6,group1,group3,group0,group0,group1,73
202,0,2,5,5,6,1,group0,group0,group0,group2,group0,52
203,0,5,5,3,3,7,group0,group3,group1,group1,group1,18
204,0,7,8,5,2,1,group1,group3,group1,group3,group0,77
205,0,3,5,0,3,1,group0,group0,group0,group1,group0,38
206,0,7,3,3,5,5,group1,group3,group1,group2,group1,94
207,0,1,4,0,2,4,group0,group0,group1,group0,group0,69
208,0,4,1,5,2,4,group1,group1,group1,group1,group0,86
209,0,6,7,2,1,5,group1,group2,group1,group1,group1,78
210,0,7,3,6,4,0,group1,group3,group1,group3,group0,67
211,0,4,3,0,0,7,group0,group3,group1,group3,group0,45
212,0,4,3,6,5,0,group0,group2,group1,group3,group1,22
213,0,5,3,3,5,1,group1,group1,group1,group1,group0,41
214,0,5,3,5,0,6,group0,group2,group1,group0,group0,10
215,0,6,7,6,2,0,group1,group3,group1,group0,group1,42
216,0,4,5,1,0,5,group0,group2,group1,group3,group1,42
217,0,3,1,3,7,4,group1,group1,group0,group0,group0,31
218,0,2,4,2,4,3,group0,group0,group1,group0,group1,47
219,0,4,4,4,5,3,group0,group3,group0,group1,group0,80
220,0,5,3,6,1,8,group0,group3,group0,group0,group1,53
221,0,3,5,5,0,0,group0,group0,group0,group0,group0,82
222,0,1,3,5,1,1,group0,group0,group1,group2,group0,47
223,0,0,3,4,1,1,group0,group0,group0,group1,group0,79
224,0,4,3,3,1,2,group0,group0,group1,group3,group0,94
225,0,3,5,6,7,5,group0,group0,group0,group2,group0,42
226,0,3,4,3,4,4,group1,group1,group1,group2,group1,78
227,0,4,2,4,3,8,group0,group2,group0,group2,group1,32
228,0,0,5,2,6,7,group1,group0,group1,group1,group0,94
229,0,6,4,3,5,2,group0,group3,group1,group1,group0,84
230,0,2,2,1,1,7,group1,group1,group0,group2,group1,65
231,0,4,5,1,5,5,group1,group2,group1,group0,group1,14
232,0,5,6,1,0,5,group1,group2,group1,group0,group1,11
233,0,5,7,6,6,0,group0,group3,group0,group3,group0,75
234,0,6,4,2,7,8,group1,group3,group1,group2,group1,33
235,0,4,5,1,2,3,group0,group0,group1,group2,group1,39
236,0,1,4,0,7,4,group1,group1,group0,group0,group1,50
237,0,6,6,4,7,3,group1,group2,group1,group0,group0,64
238,0,7,6,3,6,2,group0,group3,group0,group0,group0,58
239,0,5,8,6,5,3,group0,group3,group0,group1,group0,85
240,0,1,4,2,3,1,group1,group0,group0,group2,group1,41
241,0,5,5,6,7,4,group1,group2,group1,group3,group0,31
242,0,1,1,4,3,0,group0,group0,group0,group3,group0,47
243,0,3,7,4,5,2,group0,group2,group0,group1,group1,58
244,0,3,5,4,3,2,group0,group2,group0,group1,group1,80
245,0,3,5,2,5,1,group0,group2,group0,group3,group1,21
246,0,6,3,3,2,5,group0,group3,group1,group3,group0,21
247,0,1,1,6,0,3,group0,group1,group1,group2,group0,39
248,0,1,2,2,2,7,group0,group1,group1,group0,group0,88
249,0,3,4,4,2,7,group0,group3,group1,group2,group1,31
250,0,3,2,3,3,3,group0,group1,group1,group2,group0,75
251,0,1,2,1,1,5,group1,group1,group1,group1,group0,22
252,0,5,2,2,6,5,group1,group2,group0,group2,group1,96
253,0,0,3,3,3,2,group1,group0,group0,group1,group1,36
254,0,5,5,6,3,8,group1,group2,group1,group0,group0,72
255,0,4,3,0,0,7,group0,group3,group1,group1,group1,89
256,0,5,1,4,1,0,group0,group1,group0,group3,group1,34
257,0,2,3,1,7,1,group0,group1,group1,group3,group0,45
258,0,2,1,5,1,1,group1,group0,group1,group0,group0,93
259,0,1,2,1,5,3,group1,group0,group0,group3,group0,62
260,0,5,7,2,1,0,group1,group3,group1,group3,group1,36
261,0,3,0,0,3,8,group0,group0,group1,group0,group0,96
262,0,1,2,1,7,6,group1,group0,group1,group0,group1,80
263,0,6,7,0,4,2,group0,group3,group1,group3,group1,24
264,0,2,1,6,7,7,group1,group0,group0,group3,group0,82
265,0,7,8,1,3,2,group0,group3,group0,group3,group0,48
266,0,5,3,4,3,8,group1,group2,group1,group0,group1,50
267,0,4,4,6,2,5,group1,group2,group1,group3,group1,10
268,0,6,2,2,4,8,group0,group2,group0,group0,group0,70
269,0,6,2,4,2,0,group0,group2,group1,group2,group0,41
270,0,3,1,0,2,3,group1,group1,group0,group1,group0,98
271,0,4,6,6,5,7,group1,group1,group1,group1,group1,30
272,0,3,6,6,4,1,group1,group1,group0,group0,group0,85
273,0,6,7,2,7,5,group1,group2,group0,group2,group0,44
274,0,5,3,4,2,7,group1,group3,group1,group2,group1,46
275,0,4,5,0,3,8,group0,group2,group0,group1,group0,95
276,0,3,3,6,1,1,group1,group0,group0,group0,group1,59
277,0,5,6,4,0,3,group0,group3,group1,group0,group0,31
278,0,6,5,5,5,6,group0,group3,group0,group2,group1,94
279,0,3,4,0,4,2,group1,group0,group1,group0,group1,65
280,0,3,6,6,2,4,group0,group1,group0,group3,group1,66
281,0,4,5,6,1,8,group0,group1,group0,group0,group0,92
282,0,1,6,4,4,5,group1,group1,group1,group0,group1,29
283,0,5,3,6,4,7,group0,group1,group1,group0,group0,15
284,0,5,6,0,5,3,group0,group3,group1,group3,group1,14
285,0,3,4,0,3,7,group1,group0,group1,group0,group0,79
286,0,3,3,5,3,3,group0,group1,group0,group0,group1,60
287,0,4,3,3,7,0,group0,group3,group0,group1,group0,48
288,0,2,5,6,3,6,group0,group0,group1,group0,group0,92
289,0,2,6,3,3,4,group1,group1,group1,group1,group1,44
290,0,2,1,2,7,1,group1,group0,group0,group1,group0,65
291,0,3,6,5,4,4,group1,group2,group1,group0,group0,57
292,0,5,2,3,4,7,group1,group1,group1,group3,group0,45
293,0,4,3,0,6,1,group0,group1,group0,group2,group0,64
294,0,4,4,1,2,7,group0,group1,group1,group0,group0,37
295,0,4,4,5,0,4,group1,group3,group0,group3,group0,80
296,0,3,5,2,3,7,group0,group3,group0,group3,group0,44
297,0,4,1,6,4,7,group0,group0,group0,group0,group0,15
298,0,5,5,0,6,5,group0,group3,group1,group2,group1,27
299,0,6,6,6,1,3,group0,group3,group0,group2,group1,29
300,0,5,6,1,0,0,group1,group2,group1,group3,group1,92
301,0,4,1,4,5,5,group0,group0,group1,group0,group0,71
302,0,6,5,2,4,6,group1,group3,group0,group1,group1,69
303,0,2,3,5,5,8,group0,group1,group1,group2,group1,88
304,0,4,3,5,5,0,group0,group3,group1,group3,group1,61
305,0,2,3,6,5,3,group1,group2,group1,group3,group1,16
306,0,5,6,4,0,2,group0,group3,group1,group3,group1,98
307,0,1,3,3,5,8,group1,group0,group1,group3,group1,36
308,0,6,5,1,0,3,group1,group2,group0,group2,group1,71
309,0,3,6,2,6,0,group1,group1,group1,group0,group0,22
310,0,5,7,0,7,4,group1,group3,group1,group0,group0,36
311,0,0,3,6,4,1,group0,group0,group1,group0,group1,62
312,0,4,8,1,6,4,group0,group3,group1,group1,group0,46
313,0,4,6,5,6,3,group1,group3,group1,group0,group1,98
314,0,3,4,5,6,7,group1,group3,group1,group2,group0,78
315,0,3,7,4,2,0,group0,group3,group1,group0,group1,37
316,0,5,4,0,7,7,group0,group3,group1,group2,group0,93
317,0,3,0,2,4,6,group1,group0,group0,group2,group0,51
318,0,3,6,5,5,3,group0,group3,group0,group0,group1,59
319,0,5,3,1,4,5,group0,group3,group0,group3,group1,52
320,0,2,6,0,2,5,group0,group2,group0,group0,group0,16
321,0,4,4,0,2,4,group1,group0,group1,group1,group1,81
322,0,3,2,4,3,2,group0,group0,group0,group0,group0,59
323,0,4,3,4,7,6,group0,group1,group1,group2,group0,57
324,0,4,3,0,1,2,group0,group0,group0,group0,group0,84
325,0,3,5,5,0,5,group0,group3,group1,group1,group0,53
326,0,1,3,4,4,1,group1,group0,group1,group0,group0,33
327,0,3,5,1,0,1,group0,group1,group1,group0,group1,90
328,0,4,7,1,5,5,group0,group2,group1,group2,group1,61
329,0,4,6,0,6,2,group1,group2,group1,group3,group1,77
330,0,3,1,3,5,0,group1,group0,group0,group3,group1,25
331,0,0,4,2,0,3,group0,group0,group0,group0,group1,59
332,0,0,2,5,1,3,group0,group0,group1,group0,group1,20
333,0,6,5,6,4,3,group1,group3,group0,group1,group1,45
334,0,4,2,1,5,0,group1,group1,group0,group0,group0,41
335,0,0,5,5,5,5,group1,group0,group1,group3,group1,22
336,0,4,0,0,2,5,group1,group0,group1,group0,group1,18
337,0,0,5,5,5,4,group1,group0,group1,group0,group1,15
338,0,6,4,3,2,5,group1,group3,group0,group3,group0,74
339,0,1,6,1,1,2,group0,group1,group0,group0,group0,55
340,0,5,4,6,1,5,group0,group1,group1,group3,group0,87
341,0,5,2,6,5,6,group0,group1,group0,group1,group1,47
342,0,3,5,1,1,2,group0,group2,group0,group1,group1,86
343,0,3,1,4,2,0,group0,group0,group1,group0,group1,23
344,0,0,2,1,2,3,group1,group0,group1,group0,group0,61
345,0,6,8,5,6,6,group1,group3,group0,group3,group0,49
346,0,1,6,5,0,8,group0,group1,group0,group2,group0,77
347,0,6,6,6,5,5,group0,group2,group1,group0,group0,91
348,0,4,7,4,4,6,group0,group3,group1,group0,group1,36
349,0,4,3,5,6,0,group1,group2,group1,group3,group1,27
350,0,4,6,1,0,0,group0,group3,group1,group3,group0,89
351,0,4,7,2,6,4,group0,group2,group1,group3,group0,59
352,0,3,3,4,3,8,group1,group0,group0,group3,group1,88
353,0,5,2,2,7,7,group1,group1,group0,group0,group1,64
354,0,4,1,5,1,5,group1,group0,group0,group2,group0,45
355,0,2,5,5,5,4,group1,group2,group1,group0,group1,69
356,0,4,3,0,3,2,group1,group2,group0,group3,group1,88
357,0,3,3,1,0,2,group0,group1,group0,group0,group0,82
358,0,2,5,3,7,8,group0,group1,group0,group3,group0,90
359,0,3,6,1,4,3,group0,group3,group0,group0,group1,75
360,0,3,5,6,3,7,group0,group2,group1,group0,group0,47
361,0,2,3,5,2,5,group0,group2,group0,group1,group0,19
362,0,3,1,2,3,0,group1,group0,group1,group3,group0,91
363,0,3,8,5,5,8,group1,group3,group0,group2,group1,10
364,0,1,1,2,7,2,group1,group0,group1,group2,group0,38
365,0,3,6,5,2,1,group1,group3,group1,group0,group1,92
366,0,2,2,1,2,3,group1,group0,group0,group3,group1,50
367,0,6,7,5,0,2,group0,group2,group1,group0,group0,76
368,0,4,6,3,5,5,group0,group1,group0,group3,group1,66
369,0,4,5,3,6,3,group0,group3,group0,group1,group0,81
370,0,4,5,0,6,1,group0,group3,group0,group2,group0,75
371,0,0,2,6,7,8,group0,group0,group0,group0,group0,80
372,0,2,4,1,6,2,group0,group0,group0,group2,group1,56
373,0,5,5,6,6,7,group1,group1,group0,group2,group0,38
374,0,4,2,1,5,8,group0,group0,group1,group0,group1,46
375,0,2,3,5,5,1,group0,group1,group1,group3,group1,33
376,0,3,3,1,7,2,group0,group2,group1,group0,group1,53
377,0,2,5,5,4,0,group1,group0,group0,group2,group1,93
378,0,4,7,6,7,7,group1,group2,group1,group3,group1,26
379,0,6,4,2,5,3,group0,group2,group1,group2,group0,77
380,0,1,3,0,0,6,group0,group0,group0,group2,group1,66
381,0,4,3,1,0,5,group0,group1,group0,group0,group1,76
382,0,2,4,6,1,6,group1,group2,group1,group1,group1,67
383,0,6,6,4,4,5,group0,group3,group0,group3,group0,63
384,0,5,5,2,3,0,group1,group2,group0,group1,group0,55
385,0,3,6,5,6,6,group1,group2,group1,group2,group0,55
386,0,4,3,4,6,6,group1,group0,group0,group0,group0,46
387,0,2,6,2,0,5,group0,group2,group0,group3,group0,50
388,0,5,2,2,2,2,group0,group1,group0,group2,group1,50
389,0,2,4,3,1,1,group0,group2,group0,group0,group0,85
390,0,1,6,0,0,5,group0,group1,group0,group2,group0,25
391,0,5,3,3,4,8,group0,group2,group1,group0,group1,38
392,0,6,7,0,6,8,group1,group2,group1,group3,group0,67
393,0,5,2,0,1,2,group1,group1,group1,group2,group1,60
394,0,3,7,0,0,8,group0,group2,group1,group1,group0,60
395,0,5,3,2,0,1,group1,group3,group0,group3,group1,96
396,0,5,7,5,7,0,group0,group3,group0,group0,group0,33
397,0,3,3,1,2,5,group1,group2,group0,group1,group1,83
398,0,2,6,4,2,5,group1,group2,group1,group0,group1,11
399,0,4,6,1,0,2,group1,group1,group0,group3,group1,16
400,0,4,3,5,3,3,group1,group1,group1,group1,group1,46
401,0,3,1,6,0,6,group1,group0,group1,group2,group1,12
402,0,0,4,3,6,4,group0,group0,group0,group3,group0,34
403,0,2,5,3,5,7,group0,group0,group1,group2,group0,87
404,0,5,1,6,2,2,group0,group1,group1,group1,group0,71
405,0,3,4,2,7,3,group1,group1,group1,group2,group0,12
406,0,4,0,5,7,3,group1,group0,group1,group0,group0,83
407,0,3,2,3,5,8,group1,group2,group1,group2,group1,83
408,0,2,3,4,2,7,group0,group2,group1,group3,group1,61
409,0,6,5,3,1,4,group0,group3,group1,group3,group0,79
410,0,3,2,4,1,6,group1,group2,group0,group1,group1,15
411,0,3,4,2,2,7,group1,group0,group0,group0,group1,81
412,0,0,5,3,5,8,group1,group0,group1,group3,group0,44
413,0,4,0,6,1,8,group0,group0,group1,group3,group0,21
414,0,3,7,6,5,6,group0,group2,group0,group1,group1,88
415,0,0,1,6,5,4,group1,group0,group1,group2,group1,64
416,0,2,5,2,1,3,group0,group0,group0,group3,group0,40
417,0,3,4,0,4,5,group0,group0,group0,group2,group1,19
418,0,0,1,4,0,0,group0,group0,group0,group0,group1,64
419,0,6,3,1,5,3,group1,group3,group1,group2,group1,67
420,0,3,4,3,0,8,group0,group1,group1,group0,group1,41
421,0,6,2,1,2,6,group1,group2,group1,group0,group1,23
422,0,4,3,0,0,8,group1,group3,group1,group3,group1,73
423,0,7,4,4,4,4,group1,group3,group1,group0,group0,79
424,0,5,6,4,1,1,group0,group1,group0,group1,group0,52
425,0,4,6,4,7,1,group1,group3,group1,group1,group0,25
426,0,6,5,3,0,2,group1,group2,group1,group1,group1,68
427,0,3,7,4,4,2,group0,group2,group1,group2,group1,67
428,0,5,5,6,3,8,group1,group3,group0,group0,group1,67
429,0,4,3,3,5,6,group1,group2,group1,group2,group0,70
430,0,3,5,1,5,1,group1,group1,group1,group1,group0,84
431,0,2,1,6,6,4,group1,group1,group1,group0,group1,99
432,0,7,5,5,5,8,group1,group3,group0,group0,group0,70
433,0,0,1,5,5,0,group0,group0,group1,group3,group0,94
434,0,3,3,1,6,6,group1,group2,group0,group3,group0,56
435,0,2,2,1,3,8,group1,group2,group1,group0,group0,26
436,0,2,1,5,4,3,group0,group0,group1,group1,group0,34
437,0,3,5,4,5,3,group0,group2,group0,group3,group0,49
438,0,2,4,6,2,2,group1,group0,group0,group0,group0,44
439,0,1,4,0,6,3,group0,group0,group1,group1,group0,93
440,0,3,6,5,3,4,group1,group2,group1,group1,group0,13
441,0,6,5,4,6,1,group1,group3,group0,group0,group1,40
442,0,2,1,2,1,6,group0,group1,group0,group1,group1,10
443,0,2,1,3,7,6,group0,group0,group0,group0,group1,52
444,0,4,2,3,2,5,group1,group2,group1,group2,group1,28
445,0,3,3,4,0,5,group0,group1,group1,group3,group0,86
446,0,0,5,5,6,7,group0,group0,group0,group1,group1,92
