subscriber_id,antenna_id,tower_id,regions,prefectures
WzwHpoldPp,a131,t18,SAVANES,TCHAMBA
VuJqFsGITK,a142,t11,CENTRALE,OTI
vXYTAznQFE,a79,t53,PLATEAUX,BASSAR
zgHOvuGdmZ,a195,t45,MARITIME,PLAINE DU MO
LuwPfazSuK,a34,t6,PLATEAUX,OTI
bkanszCcLO,a42,t20,CENTRALE,CINKASSE
ZBIrLOvJnR,a162,t5,KARA,OTI
tmRCipLLwy,a78,t67,SAVANES,AVE
KiPnIUXYqs,a67,t11,KARA,YOTO
GHLOeaybOH,a170,t44,KARA,DANKPEN
aNGoLSaKjJ,a169,t44,MARITIME,ANIE
YESMrTuLio,a196,t26,SAVANES,GOLFE
oHHeRbFfEv,a108,t85,SAVANES,DOUFELGOU
qInBkNuqie,a169,t56,MARITIME,MOYEN-MONO
wiBGamfrmV,a167,t80,MARITIME,OTI
AhgERedHbP,a208,t53,KARA,KPENDJAL-OUEST
fMbZlEGloj,a250,,MARITIME,KPENDJAL-OUEST
hZvsVsiGbO,a13,t37,PLATEAUX,EST-MONO
YTzSyOzNPv,a25,t46,SAVANES,AGOU
MuVQsFeMXi,a38,t11,SAVANES,KPENDJAL
hTYedXuVwS,a203,t64,SAVANES,EST-MONO
DJHvUTkzOX,a261,t99,PLATEAUX,AGOE-NYIVE
sAMKobgXOs,a242,t56,MARITIME,OTI
bFmbnJnppt,a92,t83,MARITIME,CINKASSE
uXsQsnpPzM,a295,t22,CENTRALE,LOME COMMUNE
vWVSNYxdLR,a73,t56,PLATEAUX,AMOU
cnvqhtEuSm,a14,t76,SAVANES,TANDJOARE
XiKpNMsHxn,a47,t74,CENTRALE,SOTOUBOUA
PJacssMYLF,a71,t71,CENTRALE,OTI-SUD
fgUGpjgzXk,a129,t36,PLATEAUX,DANYI
hqhkPOYdoU,a198,t50,PLATEAUX,TCHAOUDJO
cZzlioFPLu,a60,t31,MARITIME,DOUFELGOU
RztUEfmDrT,a231,t23,CENTRALE,BINAH
dBwyGrqwqo,a271,t28,SAVANES,AVE
vhiduYHhpg,a122,t0,CENTRALE,OTI
zvoiMpXZyl,a97,t39,PLATEAUX,ANIE
nSIOCKPYeU,a239,t61,KARA,ASSOLI
qabBOscpgy,a103,t32,SAVANES,YOTO
CXWDbkmAHO,a53,t66,SAVANES,BASSAR
MutXOBkUOR,a38,t58,KARA,DANKPEN
cyedGKnkBl,a49,t46,PLATEAUX,KOZAH
TmgDdRQKHP,a209,t79,MARITIME,ASSOLI
QJrdwAARWP,a186,t37,PLATEAUX,SOTOUBOUA
VLTcsprApa,a140,t53,MARITIME,LOME COMMUNE
jMFZqtHcGd,a75,t90,PLATEAUX,AVE
QGbYfjEEUN,a181,t88,MARITIME,AGOE-NYIVE
ixgtPfMtcF,a24,t33,MARITIME,KLOTO
GTSqfBzCft,a223,t34,PLATEAUX,MOYEN-MONO
HmXwlwGPuT,a22,t25,CENTRALE,ANIE
pRrFfpCclm,a109,t78,MARITIME,TCHAMBA
QOyKySZsjs,a161,t19,SAVANES,KPENDJAL
DWwcMYiSAE,a103,t83,CENTRALE,AMOU
oWIRERNFAd,a237,t52,CENTRALE,PLAINE DU MO
fVqkkxNHhG,a163,t75,MARITIME,HAHO
lsneLOyaWq,a250,t84,CENTRALE,TONE
lMZGCsCnsS,a173,t63,CENTRALE,PLAINE DU MO
DmqfqUBZnH,a264,t96,MARITIME,BASSAR
zLbZKTJNoS,a169,t79,KARA,DANYI
ZBBCMZtnxU,a234,t98,MARITIME,BINAH
cFVmHlnmfD,a142,t41,KARA,KPENDJAL
stHoeJDHYZ,a235,t38,MARITIME,BLITTA
vaPfhlRHRO,a62,t39,CENTRALE,KLOTO
AEKnAnngAv,a158,t6,SAVANES,KLOTO
otcUfMSjlb,a165,,MARITIME,CINKASSE
OOJalOIuJR,a97,t8,CENTRALE,BLITTA
aOhYpPjaRM,a109,t0,CENTRALE,ANIE
GKVUSaRkrA,a295,t87,MARITIME,TCHAOUDJO
SYqEzGJYTQ,a138,t42,CENTRALE,EST-MONO
lCOqTNPCFV,a67,t18,CENTRALE,AVE
DKPYCgMoYm,a54,t44,KARA,YOTO
dkhpNFwiHi,a77,t43,SAVANES,VO
OyPkMgUDbd,a122,t93,CENTRALE,HAHO
xeIoKirXzF,a173,t5,SAVANES,VO
ZUTGZZkcRe,a201,t2,MARITIME,KERAN
nzbNxqUCmo,a108,t62,MARITIME,LOME COMMUNE
YYDzPMCwaj,a123,t36,CENTRALE,DANKPEN
RcPCHnSiQK,a232,t94,MARITIME,TCHAMBA
hkKbrByhKB,a151,t59,MARITIME,SOTOUBOUA
RertEDlxad,a81,t83,KARA,AGOE-NYIVE
pjNKPqeNXC,a81,t19,MARITIME,MOYEN-MONO
hhxqWaWsLA,a32,t23,MARITIME,BAS-MONO
hApMdEppaa,a30,t30,CENTRALE,TONE
MYNZcwCcTX,a122,t17,SAVANES,SOTOUBOUA
yeCoCorNtH,a215,t98,CENTRALE,ZIO
ZJRzbwjYaM,a103,t39,PLATEAUX,TCHAMBA
RiIzqSwCTc,a165,t55,PLATEAUX,TANDJOARE
rFFUBynNSh,a194,t23,KARA,VO
TlftmPGtpA,a170,t16,PLATEAUX,WAWA
bctELoKLXw,a61,t9,KARA,DOUFELGOU
AjbaFCtcbJ,a274,t91,PLATEAUX,HAHO
iCaZZNPjzs,a173,t30,CENTRALE,DANYI
rlAEpTAdBW,a82,t48,KARA,KOZAH
usdHetXxKX,a241,t49,CENTRALE,ANIE
rtKKSILNGX,a296,t37,PLATEAUX,MOYEN-MONO
bNZOUWCToK,a295,t51,CENTRALE,AVE
NcLnQIbjfg,a280,t21,CENTRALE,MOYEN-MONO
oglAFNPvjT,a168,t0,MARITIME,HAHO
orztMoDwjO,a72,t31,CENTRALE,KLOTO
FotIRBcYnB,a260,t93,PLATEAUX,YOTO
MJzAYJaCaO,a29,t18,SAVANES,AVE
aYtLXfzBOE,a163,t39,MARITIME,DANYI
ktUwmfepNJ,a48,t44,SAVANES,KPELE
BbHMdMVjBs,a256,t49,PLATEAUX,VO
PGiqQSpzov,a135,t44,SAVANES,OTI
dIrNKTmhjQ,a265,t23,SAVANES,AGOE-NYIVE
ceziKFFyBN,a24,t36,KARA,AMOU
NFKHIoqbNt,a115,t81,CENTRALE,CINKASSE
YBBauxrJRx,a296,t89,MARITIME,KOZAH
eHvpkmFarn,a268,t69,CENTRALE,TANDJOARE
VtfVmimlyD,a27,t74,PLATEAUX,ANIE
yXjRpJynYk,a247,t85,PLATEAUX,TANDJOARE
UYzlVizviG,a64,t68,PLATEAUX,BINAH
FmfTITFelQ,a144,t61,PLATEAUX,CINKASSE
kcaFcvPYkG,a247,t43,CENTRALE,KOZAH
lLzPcXlvZa,a187,t46,SAVANES,SOTOUBOUA
zSGmxiFras,a218,t53,PLATEAUX,YOTO
tyCEirACrD,a95,t74,CENTRALE,BAS-MONO
TqESuDNBjJ,a37,t12,MARITIME,ZIO
aRdOKnlBvg,a167,t35,KARA,BINAH
RiBAkZqeyg,a279,t17,MARITIME,KPENDJAL
maNvjguwmL,a286,t11,SAVANES,LACS
kcPWkViWeQ,a191,t4,MARITIME,TCHAOUDJO
irDykfVNyX,a218,t87,MARITIME,TONE
rHrHUuinDi,a44,t26,SAVANES,OTI-SUD
SHqxJNJCYS,a16,t65,MARITIME,ASSOLI
QilpPuwazs,a187,t16,CENTRALE,DANYI
HbZYYBsKHV,a90,t75,CENTRALE,LACS
tbmSJSWtXZ,a119,t25,MARITIME,KPELE
eGwidYFuZD,a17,t63,CENTRALE,TCHAMBA
sRLqqorjkH,a230,t24,MARITIME,VO
bkaCprmYrV,a48,t16,CENTRALE,OTI
XUpEywbCRm,a262,t79,KARA,TONE
yedOtOyiOq,a204,t84,CENTRALE,AGOU
QOpgXgWkUp,a250,t56,SAVANES,OTI-SUD
iWxtzZgTKO,a253,t19,KARA,MOYEN-MONO
swDofCoafd,a194,t33,SAVANES,KLOTO
WSdMzvPJEp,a243,t65,PLATEAUX,AGOE-NYIVE
bQTArhpSSa,a163,t29,PLATEAUX,BAS-MONO
TpwIZgycjl,a172,t38,SAVANES,ANIE
TKiwZaGFEW,a246,t83,SAVANES,KERAN
nwucGHfJZc,a226,t53,SAVANES,ASSOLI
sRwkKszrXq,a0,t69,KARA,DANYI
QfCQVnESPU,a117,t91,PLATEAUX,EST-MONO
LVjvnofexE,a166,t64,SAVANES,ASSOLI
fxbDhUtQlR,a146,t19,SAVANES,KPELE
JIyRoxZbUh,a292,t54,CENTRALE,TCHAMBA
ZVMnbpzHXK,a117,t75,PLATEAUX,KPENDJAL
OsDFMmUika,a243,t69,MARITIME,KERAN
fxVlUDSPMc,a100,t70,MARITIME,KERAN
wcWAJmEhTe,a131,t93,SAVANES,AKEBOU
JgpavfITSP,a272,t99,MARITIME,VO
AedhWiaPqi,a86,t22,KARA,BINAH
MQhnpLSWmh,a21,t81,PLATEAUX,VO
eEZhgiwXcE,a112,t28,SAVANES,CINKASSE
eZdziMulBE,a33,t97,KARA,OTI-SUD
WGBmXsYiOj,a287,t73,MARITIME,TONE
BiNYEqkmfd,a166,t57,SAVANES,DANKPEN
wvwrbpEJYw,a71,t50,MARITIME,DANKPEN
iAqPrFZkVP,a101,t20,PLATEAUX,BINAH
PeusZvtMjk,a197,t29,CENTRALE,BLITTA
WkYMqONJIk,a102,t32,PLATEAUX,BINAH
whklOxazbO,a53,t43,CENTRALE,OGOU
EfhlWiPAUL,a268,t91,SAVANES,TONE
PkPjUYMjzx,a100,t47,SAVANES,BINAH
FSKqEXXvfu,a224,t46,PLATEAUX,BLITTA
VJFFcPyvny,a46,t57,MARITIME,DANYI
XgRToouYOC,a168,t79,SAVANES,DANKPEN
iTISiQNqAr,a273,t1,SAVANES,AVE
aTGHRQlzWn,a221,t12,PLATEAUX,TCHAOUDJO
xkThzuCDAY,a206,t39,MARITIME,ANIE
OFfrtJzcUq,a61,t19,KARA,KPENDJAL
EYCADfAwdo,a35,t55,CENTRALE,AGOE-NYIVE
ogRUjCsmuE,a227,t59,PLATEAUX,TONE
pXBbuWstRf,a159,t57,CENTRALE,AMOU
fBVtJIOofJ,a30,t66,KARA,LACS
SFVkVBNAYV,a176,t88,KARA,GOLFE
mfGbRxVwki,a30,t57,MARITIME,PLAINE DU MO
ReNRCDHcqZ,a96,t53,SAVANES,ASSOLI
iOqJrYhaSI,a224,t55,KARA,AGOU
fGfyHISsfA,a276,t2,SAVANES,PLAINE DU MO
tLpHgGzsBC,a118,t33,MARITIME,EST-MONO
tJVBJkAsIk,a35,t44,PLATEAUX,KLOTO
iymcIyjaKw,a73,t53,SAVANES,DOUFELGOU
FOnSzgkGYP,a184,t37,MARITIME,ASSOLI
SxikXNnsrf,a71,t62,CENTRALE,TONE
XDpdMRFttS,a195,t73,SAVANES,OTI-SUD
CCjaSRuFZy,a61,t60,PLATEAUX,TCHAMBA
HBIYQxNGSW,a226,t69,MARITIME,AVE
HNUqgHMcFA,a215,t72,CENTRALE,AVE
XUrMCSAQcl,a47,t86,SAVANES,YOTO
hIVnCXHYRu,a0,t82,PLATEAUX,SOTOUBOUA
mWmJFGtObp,a65,t12,MARITIME,DANKPEN
SZJTkHRajl,a127,t48,PLATEAUX,BINAH
DgMxmdyGUf,a277,t8,SAVANES,AMOU
HkWguDIfpS,a39,t83,KARA,CINKASSE
qHbCFZbeqv,a76,t64,CENTRALE,DANYI
WTcewrLxFS,a121,t26,SAVANES,OTI
TOuEAjDKAx,a168,t52,PLATEAUX,DANYI
KbnRaCwoPO,a77,t17,CENTRALE,AKEBOU
svuCPzHHDw,a83,t27,KARA,KPENDJAL
fEkXlLpsEx,a66,t42,KARA,BAS-MONO
nFeAuUzDCe,a78,t48,SAVANES,KPELE
lPJLmbcvMa,a249,t53,PLATEAUX,AGOE-NYIVE
YnVDmyOZKz,a278,t92,CENTRALE,WAWA
pRumlkWpLO,a125,t14,CENTRALE,AVE
yjDawEVIph,a141,t84,SAVANES,HAHO
dgNSPaSfTE,a109,t45,KARA,PLAINE DU MO
wVqnidxTXT,a15,t28,SAVANES,TCHAMBA
EYhApuDvLA,a166,t15,KARA,LACS
iUChnGHNvU,a89,t33,PLATEAUX,KERAN
fIZJVXncRk,a283,t89,PLATEAUX,VO
LSSEYqEagz,a176,t70,CENTRALE,VO
mVSMfLixNY,a143,t14,KARA,EST-MONO
vifDnMSCuh,a201,t90,KARA,AGOU
noMsyEpeco,a29,t79,MARITIME,KPENDJAL
JGPCbfDGes,a49,t65,CENTRALE,TCHAOUDJO
idRaVutnLw,a64,t13,CENTRALE,AGOE-NYIVE
UBBptmhiXi,a141,t26,PLATEAUX,DANYI
VjiPScBFGF,a111,t51,MARITIME,KPENDJAL
